state,crime,gender,Under 18 years,18–34 years,35–54 years,55 years and over
NSW,1,male,8,27,22,8
vic,1,male,15,22,21,14
Qld,1,male,7,23,18,9
SA,1,male,3,13,10,3
WA,1,male,6,10,13,5
Tas,1,male,0,0,0,0
NT,1,male,0,3,5,0
ACT,1,male,0,0,0,3
NSW,1,female,0,0,11,3
vic,1,female,3,12,9,3
Qld,1,female,4,10,16,0
SA,1,female,0,8,3,0
WA,1,female,3,5,3,0
Tas,1,female,0,0,3,3
NT,1,female,0,7,3,0
ACT,1,female,0,3,0,0
NSW,6,male,16,40,35,4
vic,6,male,16,38,13,3
Qld,6,male,9,3,0,0
SA,6,male,3,12,3,0
WA,6,male,3,3,4,0
Tas,6,male,0,0,0,0
NT,6,male,0,0,0,0
ACT,6,male,0,0,0,0
NSW,6,female,16,59,35,4
vic,6,female,36,24,11,8
Qld,6,female,12,9,0,0
SA,6,female,5,16,7,3
WA,6,female,0,3,0,0
Tas,6,female,0,0,0,0
NT,6,female,0,0,0,0
ACT,6,female,0,3,0,0
NSW,10,male,22,57,20,13
vic,10,male,10,84,44,31
Qld,10,male,13,23,22,0
SA,10,male,14,50,14,8
WA,10,male,7,17,9,8
Tas,10,male,0,0,0,0
NT,10,male,0,0,0,0
ACT,10,male,0,3,0,0
NSW,10,female,0,18,4,0
vic,10,female,4,27,19,4
Qld,10,female,12,7,14,5
SA,10,female,3,4,11,3
WA,10,female,3,17,7,3
Tas,10,female,0,0,0,0
NT,10,female,0,0,0,0
ACT,10,female,0,0,0,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
