year,state,Homicide and related offences,Murder ,Attempted murder,Manslaughter,Assault,Sexual assault,Kidnapping/abduction,Robbery,Armed robbery,Unarmed robbery,Blackmail/extortion,Unlawful entry with intent,Involving the taking of property,Other unlawful entry,Motor vehicle theft,Other theft
1993,NSW,206,118,85,7,,3794,312,6003,2310,3689,6,110445,,,39064,
1994,NSW,178,108,60,7,,4611,225,7350,2217,5129,8,120006,,,45480,
1995,NSW,167,103,57,8,37863,4159,171,7646,2413,5235,16,133289,109905,23386,46593,139431
1996,NSW,198,95,85,15,47828,5038,213,8828,3017,5806,40,151817,125305,26513,48845,158197
1997,NSW,221,110,100,11,55995,4660,273,12571,4980,7591,55,165150,137437,27708,54710,165200
1998,NSW,239,93,121,26,59219,4503,379,13324,5719,7608,63,171863,142216,29649,52836,175916
1999,NSW,267,124,132,14,63813,4427,447,12553,4616,7937,59,150998,121708,29293,47356,200087
2000,NSW,262,98,149,12,68714,5975,385,13328,4691,8635,62,160609,126940,33665,51246,232297
2001,NSW,313,103,207,8,75461,6268,470,15234,5614,9617,66,162040,125983,36059,52282,229573
2002,NSW,256,96,144,16,80028,6477,435,11707,3812,7892,79,141170,109306,31859,41663,211905
2003,NSW,233,100,120,13,79890,6799,421,10849,3316,7526,78,128488,98792,29698,34825,194008
2004,NSW,149,75,73,3,78305,7072,467,8885,2864,6021,94,110763,84045,26719,33208,170293
2005,NSW,153,86,60,3,81165,6826,462,9565,3881,5685,85,103448,77986,25463,29096,157984
2006,NSW,176,105,69,4,82773,6669,450,9240,3781,5457,81,87542,61736,25805,27960,157361
2007,NSW,162,95,61,9,84852,6787,446,9344,3873,5471,77,84764,59370,25389,26478,151372
2008,NSW,153,80,66,12,79846,7142,541,8091,2897,5188,93,80436,56517,23916,25651,144461
2009,NSW,143,84,48,12,75814,7080,381,6760,2690,4067,183,70426,49669,20761,21426,144696
2010,NSW,133,73,45,11,73968,7269,329,6569,2150,4423,173,59721,40101,19625,19406,145399
2011,NSW,153,82,59,3,71165,7024,409,5327,2104,3221,137,58269,38924,19351,19208,151977
2012,NSW,107,61,35,9,68745,7628,348,5100,2127,2973,125,58228,38673,19554,17198,154335
2013,NSW,131,85,48,0,68963,8121,305,4723,1984,2741,113,49902,32700,17206,15114,147627
2014,NSW,107,75,30,0,65576,8192,305,3850,1772,2078,122,46221,30262,15962,14110,138254
2015,NSW,104,67,32,5,65140,8603,257,2930,1191,1736,139,43316,26736,16574,13032,135407
