year,state,Homicide and related offences,Murder ,Attempted murder,Manslaughter,Assault,Sexual assault,Kidnapping/abduction,Robbery,Armed robbery,Unarmed robbery,Blackmail/extortion,Unlawful entry with intent,Involving the taking of property,Other unlawful entry,Motor vehicle theft,Other theft
1993,NSW,206,118,85,7,20048.51592356688,3794,312,6003,2310,3689,6,110445,24772.542056074766,9363.289719626167,39064,67008.56481481482
1994,NSW,178,108,60,7,20048.51592356688,4611,225,7350,2217,5129,8,120006,24772.542056074766,9363.289719626167,45480,67008.56481481482
1995,NSW,167,103,57,8,37863.0,4159,171,7646,2413,5235,16,133289,109905.0,23386.0,46593,139431.0
1996,NSW,198,95,85,15,47828.0,5038,213,8828,3017,5806,40,151817,125305.0,26513.0,48845,158197.0
1997,NSW,221,110,100,11,55995.0,4660,273,12571,4980,7591,55,165150,137437.0,27708.0,54710,165200.0
1998,NSW,239,93,121,26,59219.0,4503,379,13324,5719,7608,63,171863,142216.0,29649.0,52836,175916.0
1999,NSW,267,124,132,14,63813.0,4427,447,12553,4616,7937,59,150998,121708.0,29293.0,47356,200087.0
2000,NSW,262,98,149,12,68714.0,5975,385,13328,4691,8635,62,160609,126940.0,33665.0,51246,232297.0
2001,NSW,313,103,207,8,75461.0,6268,470,15234,5614,9617,66,162040,125983.0,36059.0,52282,229573.0
2002,NSW,256,96,144,16,80028.0,6477,435,11707,3812,7892,79,141170,109306.0,31859.0,41663,211905.0
2003,NSW,233,100,120,13,79890.0,6799,421,10849,3316,7526,78,128488,98792.0,29698.0,34825,194008.0
2004,NSW,149,75,73,3,78305.0,7072,467,8885,2864,6021,94,110763,84045.0,26719.0,33208,170293.0
2005,NSW,153,86,60,3,81165.0,6826,462,9565,3881,5685,85,103448,77986.0,25463.0,29096,157984.0
2006,NSW,176,105,69,4,82773.0,6669,450,9240,3781,5457,81,87542,61736.0,25805.0,27960,157361.0
2007,NSW,162,95,61,9,84852.0,6787,446,9344,3873,5471,77,84764,59370.0,25389.0,26478,151372.0
2008,NSW,153,80,66,12,79846.0,7142,541,8091,2897,5188,93,80436,56517.0,23916.0,25651,144461.0
2009,NSW,143,84,48,12,75814.0,7080,381,6760,2690,4067,183,70426,49669.0,20761.0,21426,144696.0
2010,NSW,133,73,45,11,73968.0,7269,329,6569,2150,4423,173,59721,40101.0,19625.0,19406,145399.0
2011,NSW,153,82,59,3,71165.0,7024,409,5327,2104,3221,137,58269,38924.0,19351.0,19208,151977.0
2012,NSW,107,61,35,9,68745.0,7628,348,5100,2127,2973,125,58228,38673.0,19554.0,17198,154335.0
2013,NSW,131,85,48,0,68963.0,8121,305,4723,1984,2741,113,49902,32700.0,17206.0,15114,147627.0
2014,NSW,107,75,30,0,65576.0,8192,305,3850,1772,2078,122,46221,30262.0,15962.0,14110,138254.0
2015,NSW,104,67,32,5,65140.0,8603,257,2930,1191,1736,139,43316,26736.0,16574.0,13032,135407.0
2016,NSW,100,65,27,5,65260.0,8795,267,2602,1068,1531,114,41206,25284.0,15922.0,12013,135728.0
