year,gender,crime id,Under 18 years,18–24 years,25–34 years,35–44 years,45–54 years,55 years and over,55–64 years,65 years and over
2010,male,1,31,47,50,66,46,41,27,14
2011,male,1,25,42,75,69,50,61,38,23
2012,male,1,22,42,87,62,42,47,22,25
2013,male,1,19,38,82,51,38,37,19,18
2014,male,1,19,38,47,66,44,42,18,24
2015,male,1,22,34,71,59,44,33,20,13
2016,male,1,26,33,73,59,48,53,24,29
2017,male,1,26,40,65,79,45,38,18,20
2018,male,1,23,29,37,58,43,55,28,27
2019,male,1,22,32,71,64,48,53,31,22
2020,male,1,23,31,46,65,55,39,20,19
2021,male,1,33,28,61,44,52,42,15,27
2010,female,1,25,15,32,31,26,35,19,16
2011,female,1,22,20,30,30,14,29,8,21
2012,female,1,23,18,28,21,15,30,15,15
2013,female,1,17,22,33,32,20,25,16,9
2014,female,1,25,13,30,34,17,30,12,18
2015,female,1,31,13,32,29,20,24,13,11
2016,female,1,18,20,40,28,21,41,17,24
2017,female,1,13,17,25,31,17,29,10,19
2018,female,1,21,6,22,26,10,45,21,24
2019,female,1,13,17,33,18,10,27,5,22
2020,female,1,22,14,21,22,16,33,13,20
2021,female,1,14,15,25,14,19,12,6,6
2010,unkown,1,58,65,79,104,75,76,48,28
2011,unkown,1,45,56,111,103,63,91,52,39
2012,unkown,1,43,62,112,87,57,75,36,39
2013,unkown,1,35,63,121,88,60,64,32,32
2014,unkown,1,49,51,76,99,64,67,30,37
2015,unkown,1,50,47,104,86,66,61,37,24
2016,unkown,1,40,47,107,85,66,87,36,51
2017,unkown,1,39,51,87,111,64,76,34,42
2018,unkown,1,45,39,61,82,58,93,46,47
2019,unkown,1,41,52,104,81,60,84,40,44
2020,unkown,1,46,46,70,87,67,70,32,38
2021,unkown,1,49,43,90,62,67,58,25,33
2010,male,10,19,42,68,61,68,46,35,11
2011,male,10,10,34,44,61,48,45,32,13
2012,male,10,13,48,85,64,38,42,30,12
2013,male,10,11,63,68,67,59,57,40,17
2014,male,10,11,73,93,78,60,39,24,15
2015,male,10,13,72,74,65,56,40,27,13
2016,male,10,17,73,84,68,48,49,30,19
2017,male,10,16,63,83,60,52,46,28,18
2018,male,10,12,83,90,65,71,61,43,18
2019,male,10,15,66,75,71,64,57,43,14
2020,male,10,25,101,68,59,47,39,27,12
2021,male,10,60,134,102,62,52,61,42,19
2010,female,10,11,25,38,32,28,17,12,5
2011,female,10,8,31,27,35,15,11,8,3
2012,female,10,13,23,25,25,21,11,5,6
2013,female,10,16,39,41,17,13,18,10,8
2014,female,10,13,38,24,18,22,13,7,6
2015,female,10,27,25,37,25,13,18,11,7
2016,female,10,20,33,39,45,33,20,12,8
2017,female,10,28,27,50,25,32,14,6,8
2018,female,10,21,35,33,23,21,29,16,13
2019,female,10,37,29,38,27,20,20,12,8
2020,female,10,30,24,35,22,11,20,12,8
2021,female,10,22,35,31,30,23,19,15,4
2010,unkown,10,33,70,98,92,102,61,48,13
2011,unkown,10,16,72,75,94,62,63,44,19
2012,unkown,10,23,77,114,92,61,55,37,18
2013,unkown,10,26,106,106,85,74,72,47,25
2014,unkown,10,25,107,119,102,85,57,36,21
2015,unkown,10,44,99,111,96,68,56,37,19
2016,unkown,10,35,105,122,106,79,75,44,31
2017,unkown,10,46,85,140,83,85,64,37,27
2018,unkown,10,37,112,122,91,99,83,58,25
2019,unkown,10,53,99,111,89,88,83,57,26
2020,unkown,10,58,124,102,81,58,65,40,25
2021,unkown,10,81,166,133,89,72,77,54,23
