year,gender,crime id,0–9 years,10–17 years,Under 18 years,18–24 years,25–34 years,35–44 years,45–54 years,55 years and over,55–64 years,65 years and over
2010,male,5,843,"1,146","1,989",274,205,228,106,48,35,13
2011,male,5,849,"1,066","1,915",280,233,210,114,61,36,25
2012,male,5,"1,056","1,117","2,173",308,285,225,142,100,68,32
2013,male,5,957,"1,230","2,187",316,273,257,229,113,80,33
2014,male,5,"1,023","1,203","2,226",319,330,321,213,105,76,29
2015,male,5,"1,039","1,238","2,277",334,309,379,341,217,148,69
2016,male,5,"1,044","1,329","2,373",377,369,369,357,246,173,73
2017,male,5,965,"1,427","2,392",426,394,418,464,397,290,107
2018,male,5,886,"1,367","2,253",416,399,329,404,286,204,82
2019,male,5,952,"1,580","2,532",405,410,367,360,268,206,62
2020,male,5,891,"1,503","2,394",412,481,398,314,254,184,70
2021,male,5,765,"1,560","2,325",443,523,437,341,268,179,89
2010,female,5,"1,721","7,051","8,772","2,937","1,946","1,188",614,382,222,160
2011,female,5,"1,678","6,750","8,428","2,944","2,058","1,250",627,343,212,131
2012,female,5,"1,747","6,946","8,693","2,966","2,056","1,291",678,379,226,153
2013,female,5,"1,874","6,917","8,791","3,020","2,206","1,414",701,391,218,173
2014,female,5,"1,927","7,140","9,067","2,950","2,272","1,412",800,507,321,186
2015,female,5,"1,980","7,218","9,198","3,015","2,414","1,594",990,603,404,199
2016,female,5,"1,823","7,439","9,262","3,288","2,710","1,753","1,163",598,364,234
2017,female,5,"1,926","8,468","10,394","3,728","3,124","1,907","1,224",743,494,249
2018,female,5,"1,829","8,876","10,705","4,066","3,211","1,943","1,263",815,522,293
2019,female,5,"1,794","8,764","10,558","4,110","3,477","1,892","1,240",883,547,336
2020,female,5,"1,750","9,747","11,497","4,203","3,360","1,991","1,259",791,473,318
2021,female,5,"1,555","11,323","12,878","4,885","3,908","2,422","1,484",1007,649,358
2010,unkown,5,"2,572","8,199","10,771","3,214","2,151","1,416",720,437,253,184
2011,unkown,5,"2,535","7,818","10,353","3,231","2,297","1,461",741,405,247,158
2012,unkown,5,"2,805","8,064","10,869","3,277","2,349","1,522",819,487,300,187
2013,unkown,5,"2,834","8,151","10,985","3,343","2,484","1,671",926,505,297,208
2014,unkown,5,"2,953","8,346","11,299","3,282","2,608","1,736","1,020",609,393,216
2015,unkown,5,"3,028","8,467","11,495","3,347","2,733","1,965","1,336",821,553,268
2016,unkown,5,"2,878","8,768","11,646","3,668","3,084","2,124","1,518",842,538,304
2017,unkown,5,"2,900","9,906","12,806","4,154","3,520","2,323","1,695",1136,783,353
2018,unkown,5,"2,732","10,268","13,000","4,508","3,610","2,282","1,666",1106,729,377
2019,unkown,5,"2,760","10,368","13,128","4,523","3,886","2,266","1,605",1153,751,402
2020,unkown,5,"2,653","11,277","13,930","4,621","3,847","2,390","1,578",1048,660,388
2021,unkown,5,"2,337","12,904","15,241","5,344","4,438","2,860","1,831",1273,825,448
2010,male,7,10,"1,936","1,946","3,353","2,107",930,610,498,331,167
2011,male,7,21,"1,624","1,645","2,630","2,039",838,601,447,314,133
2012,male,7,15,"1,344","1,359","2,297","1,899",904,584,488,314,174
2013,male,7,12,"1,161","1,173","2,070","1,734",818,512,437,286,151
2014,male,7,10,"1,049","1,059","1,616","1,456",735,484,478,295,183
2015,male,7,7,884,891,"1,477","1,403",709,465,447,271,176
2016,male,7,8,971,979,"1,628","1,415",795,513,437,260,177
2017,male,7,6,"1,278","1,284","1,493","1,403",848,522,513,319,194
2018,male,7,5,"1,488","1,493","1,782","1,441",843,532,514,316,198
2019,male,7,12,"1,955","1,967","2,108","1,709",977,582,600,363,237
2020,male,7,14,"1,688","1,702","1,539","1,354",853,537,434,271,163
2021,male,7,14,"1,827","1,841","1,206","1,247",814,491,491,283,208
2010,female,7,7,397,404,834,678,394,351,337,210,127
2011,female,7,9,358,367,816,722,417,335,329,209,120
2012,female,7,3,318,321,795,681,441,350,364,213,151
2013,female,7,8,265,273,639,670,380,331,345,202,143
2014,female,7,3,257,260,577,470,341,258,315,195,120
2015,female,7,3,188,191,453,483,304,240,257,152,105
2016,female,7,3,209,212,496,505,314,255,294,171,123
2017,female,7,7,234,241,458,503,310,278,275,169,106
2018,female,7,0,329,329,483,530,341,296,296,161,135
2019,female,7,5,400,405,529,550,362,286,323,191,132
2020,female,7,3,334,337,437,427,312,220,236,147,89
2021,female,7,4,418,422,343,461,317,244,241,135,106
2010,unkown,7,16,"2,332","2,348","4,200","2,791","1,328",967,833,538,295
2011,unkown,7,25,"1,982","2,007","3,454","2,768","1,253",942,779,521,258
2012,unkown,7,17,"1,664","1,681","3,103","2,597","1,355",936,863,531,332
2013,unkown,7,15,"1,425","1,440","2,718","2,412","1,205",847,786,491,295
2014,unkown,7,11,"1,307","1,318","2,203","1,932","1,080",744,802,497,305
2015,unkown,7,10,"1,076","1,086","1,936","1,894","1,020",714,699,418,281
2016,unkown,7,11,"1,183","1,194","2,123","1,919","1,111",771,732,436,296
2017,unkown,7,10,"1,512","1,522","1,948","1,905","1,160",799,796,490,306
2018,unkown,7,7,"1,814","1,821","2,267","1,975","1,185",827,810,477,333
2019,unkown,7,20,"2,356","2,376","2,637","2,258","1,343",863,926,557,369
2020,unkown,7,13,"2,023","2,036","1,980","1,786","1,160",756,677,422,255
2021,unkown,7,19,"2,245","2,264","1,550","1,714","1,134",733,735,419,316
2010,male,8,0,476,476,"1,105",757,369,259,188,142,46
2011,male,8,0,430,430,"1,010",844,355,300,207,144,63
2012,male,8,7,424,431,945,875,392,282,233,163,70
2013,male,8,0,363,363,921,787,373,248,229,161,68
2014,male,8,0,357,357,747,718,357,242,241,164,77
2015,male,8,3,361,364,717,713,370,229,227,143,84
2016,male,8,3,392,395,885,798,411,294,212,135,77
2017,male,8,4,506,510,736,749,420,261,233,141,92
2018,male,8,0,554,554,938,720,425,274,246,170,76
2019,male,8,6,815,821,"1,057",898,509,285,299,187,112
2020,male,8,6,770,776,774,755,447,283,229,144,85
2021,male,8,6,766,772,619,661,440,244,229,142,87
2010,female,8,0,82,82,217,233,150,140,96,65,31
2011,female,8,3,90,93,225,219,156,137,87,73,14
2012,female,8,5,67,72,239,227,180,139,120,86,34
2013,female,8,3,58,61,191,229,152,130,108,80,28
2014,female,8,0,64,64,205,179,125,111,121,91,30
2015,female,8,0,57,57,183,206,145,115,92,72,20
2016,female,8,0,49,49,175,189,144,120,109,65,44
2017,female,8,3,66,69,172,206,115,115,101,68,33
2018,female,8,0,87,87,198,203,144,131,95,62,33
2019,female,8,7,118,125,201,248,151,119,135,77,58
2020,female,8,0,93,93,197,198,149,113,83,57,26
2021,female,8,0,123,123,145,178,120,104,97,60,37
2010,unkown,8,4,559,563,"1,324",997,521,397,285,207,78
2011,unkown,8,8,516,524,"1,238","1,074",506,437,290,214,76
2012,unkown,8,11,493,504,"1,193","1,108",573,419,356,254,102
2013,unkown,8,8,421,429,"1,112","1,017",524,379,341,240,101
2014,unkown,8,0,422,422,962,898,488,349,366,259,107
2015,unkown,8,3,410,413,902,918,512,347,323,215,108
2016,unkown,8,3,443,446,"1,063",987,557,416,322,204,118
2017,unkown,8,5,570,575,905,950,540,374,331,207,124
2018,unkown,8,0,639,639,"1,141",926,573,409,339,228,111
2019,unkown,8,9,934,943,"1,258","1,147",664,406,430,266,164
2020,unkown,8,4,858,862,974,957,591,396,317,201,116
2021,unkown,8,6,892,898,765,835,561,348,329,203,126
2010,male,9,8,"1,457","1,465","2,247","1,351",562,352,309,190,119
2011,male,9,16,"1,195","1,211","1,624","1,195",484,302,245,169,76
2012,male,9,12,918,930,"1,357","1,019",516,305,250,147,103
2013,male,9,9,798,807,"1,152",952,450,260,212,127,85
2014,male,9,6,690,696,872,735,381,241,245,135,110
2015,male,9,0,526,526,759,694,344,240,211,122,89
2016,male,9,6,580,586,734,619,383,222,223,123,100
2017,male,9,6,775,781,761,655,426,263,272,174,98
2018,male,9,5,932,937,844,723,414,255,267,148,119
2019,male,9,12,"1,143","1,155","1,050",810,462,291,303,175,128
2020,male,9,9,917,926,770,604,409,254,209,136,73
2021,male,9,10,"1,057","1,067",587,587,372,248,253,138,115
2010,female,9,3,317,320,617,438,248,213,236,142,94
2011,female,9,4,273,277,591,497,265,201,249,141,108
2012,female,9,0,250,250,556,457,265,210,251,126,125
2013,female,9,5,204,209,446,442,228,203,233,121,112
2014,female,9,3,197,200,375,288,218,145,196,104,92
2015,female,9,0,140,140,276,279,158,129,167,82,85
2016,female,9,3,160,163,319,311,174,140,184,106,78
2017,female,9,4,169,173,285,301,193,160,180,102,78
2018,female,9,0,238,238,279,323,195,164,197,98,99
2019,female,9,0,276,276,328,309,214,164,183,109,74
2020,female,9,0,238,238,240,228,165,107,153,89,64
2021,female,9,4,298,302,193,288,191,137,149,77,72
2010,unkown,9,16,"1,772","1,788","2,869","1,798",808,566,548,331,217
2011,unkown,9,17,"1,464","1,481","2,213","1,696",746,503,490,307,183
2012,unkown,9,11,"1,173","1,184","1,916","1,487",788,511,498,275,223
2013,unkown,9,10,"1,005","1,015","1,600","1,398",679,461,449,253,196
2014,unkown,9,8,889,897,"1,246","1,033",596,391,433,238,195
2015,unkown,9,3,661,664,"1,034",973,501,367,379,206,173
2016,unkown,9,6,741,747,"1,055",936,551,361,406,225,181
2017,unkown,9,9,944,953,"1,049",955,621,428,456,281,175
2018,unkown,9,5,"1,175","1,180","1,122","1,051",612,416,464,244,220
2019,unkown,9,12,"1,421","1,433","1,385","1,115",676,460,498,292,206
2020,unkown,9,7,"1,161","1,168","1,007",836,569,359,363,226,137
2021,unkown,9,14,"1,352","1,366",779,874,567,391,411,219,192
