year,gender,crime id,0–9 years,10–17 years,Under 18 years,18–24 years,25–34 years,35–44 years,45–54 years,55 years and over
2010,male,6,45,79,124,46,44,17,3,9
2011,male,6,49,82,131,45,42,29,9,8
2012,male,6,58,63,121,54,51,17,4,5
2013,male,6,40,46,86,56,46,28,18,5
2014,male,6,36,35,71,51,58,28,19,9
2015,male,6,25,44,69,61,65,30,13,0
2016,male,6,24,27,51,51,72,26,15,12
2017,male,6,27,19,46,33,71,23,14,5
2018,male,6,21,19,40,37,58,32,13,7
2019,male,6,27,31,58,52,76,29,17,13
2020,male,6,18,31,49,44,46,24,20,6
2021,male,6,24,21,45,39,55,30,19,11
2010,female,6,57,139,196,66,52,29,9,3
2011,female,6,53,150,203,91,45,37,10,7
2012,female,6,49,127,176,74,55,33,24,5
2013,female,6,35,101,136,83,56,36,10,11
2014,female,6,39,73,112,79,72,44,14,3
2015,female,6,38,64,102,59,63,39,13,9
2016,female,6,39,62,101,69,69,29,20,13
2017,female,6,24,66,90,67,57,27,16,19
2018,female,6,19,47,66,59,55,39,16,12
2019,female,6,33,32,65,49,76,45,18,17
2020,female,6,33,36,69,41,45,29,14,4
2021,female,6,28,40,68,42,63,31,25,11
2010,Unkown,6,101,218,319,110,100,45,12,18
2011,Unkown,6,107,230,337,134,89,68,19,18
2012,Unkown,6,104,196,300,132,108,54,33,6
2013,Unkown,6,82,151,233,144,102,65,27,20
2014,Unkown,6,71,114,185,128,124,65,26,9
2015,Unkown,6,65,107,172,119,124,71,21,10
2016,Unkown,6,55,92,147,122,137,55,34,27
2017,Unkown,6,55,89,144,99,129,57,30,22
2018,Unkown,6,42,68,110,96,111,69,28,19
2019,Unkown,6,69,68,137,100,147,73,41,26
2020,Unkown,6,56,72,128,81,98,54,32,11
2021,Unkown,6,47,62,109,84,121,66,42,21
