year,crime id,Dwelling,Outbuilding or residential land,Educational,Transport(n),Open space,Street/footpath,Other community location(p),Administrative/professional,Retail,Recreational,Other(s)
2010,1,273.00,16.00,,,,75.00,22.00,,,,60.00
2011,1,293.00,26.00,,,,62.00,37.00,,,,35.00
2012,1,214.00,25.00,,,,93.00,47.00,,,,46.00
2013,1,238.00,25.00,,,,76.00,28.00,,,,45.00
2014,1,246.00,19.00,,,,74.00,36.00,,,,26.00
2015,1,233.00,22.00,,,,69.00,33.00,,,,38.00
2016,1,273.00,15.00,,,,82.00,31.00,,,,49.00
2017,1,214.00,32.00,,,,110.00,38.00,,,,26.00
2018,1,230.00,21.00,,,,53.00,26.00,,,,35.00
2019,1,239.00,17.00,,,,69.00,41.00,,,,40.00
2020,1,229.00,12.00,,,,83.00,34.00,,,,28.00
2021,1,216.00,9.00,,,,64.00,37.00,,,,29.00
2010,2,144.00,4.00,,,,30.00,18.00,,,,21.00
2011,2,171.00,12.00,,,,21.00,14.00,,,,14.00
2012,2,126.00,7.00,,,,37.00,29.00,,,,22.00
2013,2,150.00,10.00,,,,34.00,12.00,,,,26.00
2014,2,152.00,11.00,,,,33.00,26.00,,,,19.00
2015,2,142.00,7.00,,,,38.00,19.00,,,,21.00
2016,2,147.00,5.00,,,,29.00,14.00,,,,25.00
2017,2,116.00,19.00,,,,40.00,16.00,,,,14.00
2018,2,152.00,8.00,,,,17.00,18.00,,,,19.00
2019,2,130.00,16.00,,,,34.00,22.00,,,,22.00
2020,2,138.00,9.00,,,,37.00,17.00,,,,10.00
2021,2,118.00,7.00,,,,34.00,14.00,,,,17.00
2010,3,122.00,5.00,,,,39.00,4.00,,,,30.00
2011,3,104.00,14.00,,,,36.00,16.00,,,,17.00
2012,3,71.00,12.00,,,,50.00,6.00,,,,17.00
2013,3,78.00,15.00,,,,35.00,10.00,,,,14.00
2014,3,84.00,8.00,,,,36.00,9.00,,,,3.00
2015,3,93.00,11.00,,,,25.00,14.00,,,,7.00
2016,3,108.00,7.00,,,,40.00,14.00,,,,19.00
2017,3,79.00,10.00,,,,61.00,12.00,,,,13.00
2018,3,68.00,10.00,,,,26.00,8.00,,,,10.00
2019,3,84.00,4.00,,,,31.00,13.00,,,,13.00
2020,3,69.00,7.00,,,,29.00,12.00,,,,4.00
2021,3,81.00,4.00,,,,17.00,9.00,,,,12.00
2010,4,9.00,0.00,,,,4.00,4.00,,,,0.00
2011,4,14.00,0.00,,,,3.00,5.00,,,,3.00
2012,4,14.00,3.00,,,,12.00,7.00,,,,5.00
2013,4,10.00,0.00,,,,0.00,0.00,,,,6.00
2014,4,9.00,0.00,,,,9.00,4.00,,,,3.00
2015,4,6.00,3.00,,,,4.00,3.00,,,,4.00
2016,4,12.00,0.00,,,,7.00,3.00,,,,4.00
2017,4,21.00,0.00,,,,9.00,8.00,,,,3.00
