year,crime id,Investigation not finalised,Investigation finalised - no offender proceeded against,Investigation finalised - offender proceeded against
2010,1,122.00,18.00,324.00
2011,1,138.00,21.00,305.00
2012,1,125.00,33.00,289.00
2013,1,140.00,28.00,271.00
2014,1,109.00,15.00,298.00
2015,1,112.00,15.00,284.00
2016,1,128.00,9.00,308.00
2017,1,157.00,13.00,267.00
2018,1,101.00,10.00,264.00
2019,1,137.00,11.00,267.00
2020,1,128.00,13.00,250.00
2021,1,136.00,13.00,222.00
2010,2,52.00,13.00,165.00
2011,2,72.00,17.00,160.00
2012,2,70.00,19.00,159.00
2013,2,69.00,22.00,153.00
2014,2,53.00,8.00,175.00
2015,2,65.00,9.00,157.00
2016,2,59.00,3.00,168.00
2017,2,64.00,6.00,137.00
2018,2,55.00,7.00,157.00
2019,2,69.00,0.00,160.00
2020,2,76.00,3.00,138.00
2021,2,56.00,11.00,125.00
2010,3,56.00,7.00,145.00
2011,3,47.00,7.00,137.00
2012,3,38.00,7.00,116.00
2013,3,51.00,11.00,103.00
2014,3,39.00,3.00,105.00
2015,3,33.00,7.00,114.00
2016,3,57.00,7.00,130.00
2017,3,74.00,3.00,101.00
2018,3,33.00,0.00,94.00
2019,3,49.00,8.00,88.00
2020,3,29.00,6.00,85.00
2021,3,48.00,3.00,79.00
2010,4,9.00,0.00,16.00
2011,4,19.00,0.00,9.00
2012,4,22.00,3.00,18.00
2013,4,12.00,0.00,11.00
2014,4,9.00,0.00,18.00
2015,4,12.00,0.00,13.00
2016,4,12.00,0.00,13.00
2017,4,15.00,4.00,24.00
2018,4,8.00,3.00,19.00
2019,4,20.00,0.00,19.00
2020,4,20.00,0.00,31.00
2021,4,29.00,0.00,12.00
2010,5,10558.00,3659.00,4641.00
2011,5,10581.00,3733.00,4298.00
2012,5,11218.00,4086.00,4144.00
2013,5,11608.00,4302.00,4120.00
2014,5,12211.00,4501.00,4030.00
2015,5,14341.00,3903.00,3703.00
2016,5,14575.00,4469.00,3993.00
2017,5,15827.00,5216.00,4797.00
2018,5,16782.00,5030.00,4518.00
2019,5,17791.00,5133.00,3939.00
2020,5,17930.00,5731.00,3875.00
2021,5,20548.00,6396.00,4176.00
2010,6,361.00,59.00,193.00
2011,6,420.00,59.00,199.00
2012,6,348.00,75.00,216.00
2013,6,333.00,70.00,195.00
2014,6,270.00,49.00,227.00
2015,6,280.00,35.00,219.00
2016,6,266.00,35.00,233.00
2017,6,210.00,32.00,237.00
2018,6,199.00,38.00,204.00
2019,6,254.00,36.00,232.00
2020,6,203.00,30.00,168.00
2021,6,201.00,32.00,218.00
2010,7,10159.00,735.00,3736.00
2011,7,9225.00,677.00,3746.00
2012,7,8320.00,1027.00,3819.00
2013,7,7609.00,633.00,3473.00
2014,7,6162.00,623.00,3110.00
2015,7,5522.00,451.00,2993.00
2016,7,5695.00,489.00,3230.00
2017,7,5629.00,477.00,3483.00
