year,crime id,gender,Less than 6 months,6 months to less than 1 year,1 to less than 2 years,2 to less than 5 years,5 to less than 10 years,10 to less than 20 years,20 years and over
2014,5,male,2230.00,198.00,145.00,174.00,151.00,168.00,475.00
2015,5,male,2291.00,165.00,154.00,179.00,149.00,198.00,746.00
2016,5,male,2244.00,222.00,159.00,250.00,198.00,216.00,815.00
2017,5,male,2415.00,222.00,200.00,207.00,187.00,231.00,1061.00
2018,5,male,2240.00,356.00,230.00,185.00,181.00,141.00,773.00
2019,5,male,2415.00,384.00,229.00,233.00,210.00,181.00,717.00
2020,5,male,2189.00,353.00,276.00,309.00,238.00,200.00,703.00
2021,5,male,2315.00,303.00,210.00,317.00,239.00,246.00,711.00
2014,5,female,12675.00,801.00,718.00,830.00,714.00,621.00,741.00
2015,5,female,12793.00,938.00,723.00,854.00,720.00,721.00,1164.00
2016,5,female,13051.00,1087.00,845.00,1048.00,819.00,777.00,1216.00
2017,5,female,14558.00,1235.00,1082.00,1232.00,976.00,859.00,1270.00
2018,5,female,14949.00,1741.00,1116.00,1234.00,980.00,783.00,1292.00
2019,5,female,14893.00,1726.00,1312.00,1272.00,953.00,819.00,1313.00
2020,5,female,14294.00,1924.00,1606.00,1717.00,1374.00,1019.00,1242.00
2021,5,female,16652.00,2043.00,1679.00,2012.00,1597.00,1138.00,1540.00
2014,5,unkown,14956.00,1008.00,874.00,1009.00,869.00,796.00,1213.00
2015,5,unkown,15157.00,1110.00,889.00,1042.00,873.00,930.00,1917.00
2016,5,unkown,15348.00,1310.00,1005.00,1300.00,1020.00,992.00,2042.00
2017,5,unkown,17036.00,1462.00,1285.00,1436.00,1165.00,1100.00,2346.00
2018,5,unkown,17261.00,2104.00,1350.00,1423.00,1165.00,927.00,2068.00
2019,5,unkown,17447.00,2124.00,1549.00,1519.00,1167.00,1002.00,2042.00
2020,5,unkown,16538.00,2291.00,1889.00,2025.00,1619.00,1220.00,1950.00
2021,5,unkown,19031.00,2352.00,1897.00,2340.00,1835.00,1389.00,2256.00
