year,crime id,under 6M,6M to 1Y,1Y to 2Y,2Y to 5Y,5Y to 10Y,10Y to 20Y,over 20Y
2014,1,405,5,6,0,0,3,0
2015,1,405,3,0,4,3,0,0
2016,1,433,6,0,3,0,3,3
2017,1,414,3,4,3,4,0,0
2018,1,365,3,0,3,0,0,7
2019,1,402,3,0,3,3,0,0
2020,1,379,3,3,4,3,0,0
2021,1,360,7,3,0,0,0,0
2014,5,14956,1008,874,1009,869,796,1213
2015,5,15157,1110,889,1042,873,930,1917
2016,5,15348,1310,1005,1300,1020,992,2042
2017,5,17036,1462,1285,1436,1165,1100,2346
2018,5,17261,2104,1350,1423,1165,927,2068
2019,5,17447,2124,1549,1519,1167,1002,2042
2020,5,16538,2291,1889,2025,1619,1220,1950
2021,5,19031,2352,1897,2340,1835,1389,2256
2014,6,528,5,0,3,0,0,4
2015,6,511,7,0,5,3,0,0
2016,6,507,8,10,0,0,0,6
2017,6,439,13,12,4,7,3,3
2018,6,424,4,5,0,3,0,3
2019,6,506,5,0,3,0,0,8
2020,6,365,8,14,0,3,0,6
2021,6,417,8,4,11,0,5,0
2014,7,9797,21,18,6,0,3,0
2015,7,8867,20,9,3,0,0,15
2016,7,9319,24,18,0,0,0,3
2017,7,9489,24,30,0,0,3,4
2018,7,10042,31,20,0,0,0,3
2019,7,11677,22,17,10,5,3,4
2020,7,9317,33,4,3,0,0,0
2021,7,9057,25,24,0,0,0,3
2014,10,479,23,19,5,0,0,0
2015,10,472,19,16,8,0,0,0
2016,10,493,17,21,3,0,0,0
2017,10,475,24,19,9,3,0,0
2018,10,538,15,6,10,3,0,0
2019,10,509,23,8,13,0,0,0
2020,10,476,23,9,7,0,0,0
2021,10,619,10,9,3,0,0,0
2014,11,180794,348,268,61,8,44,17
2015,11,182987,380,233,60,32,18,7
2016,11,187664,426,285,83,16,10,7
2017,11,175243,414,253,78,16,18,12
2018,11,167933,430,245,76,20,13,3
2019,11,172359,398,222,64,19,7,17
2020,11,132791,546,214,63,10,16,12
2021,11,137925,381,335,88,38,15,25
2014,14,49660,177,139,54,3,7,0
2015,14,51006,211,120,45,7,7,6
2016,14,55459,226,164,42,9,13,0
2017,14,51877,232,145,39,15,9,0
2018,14,52839,222,125,42,12,5,5
2019,14,57417,231,144,53,16,3,0
2020,14,47541,259,126,46,13,6,3
2021,14,49054,273,180,66,22,8,7
2014,15,479681,2569,1507,576,139,79,10
2015,15,503825,2484,1609,630,150,63,11
2016,15,531226,2752,1662,608,158,71,19
2017,15,504011,2853,1527,839,153,93,18
2018,15,531734,2627,1480,593,149,63,16
2019,15,563530,2578,1393,603,173,61,28
2020,15,431509,2422,1152,513,160,90,62
2021,15,437309,1960,1413,569,196,104,76
