year,crime id,weapon used,firearm
2010,1,301.00,83.00
2011,1,321.00,93.00
2012,1,292.00,92.00
2013,1,283.00,91.00
2014,1,280.00,75.00
2015,1,275.00,58.00
2016,1,317.00,75.00
2017,1,261.00,71.00
2018,1,259.00,54.00
2019,1,271.00,92.00
2020,1,232.00,41.00
2021,1,225.00,59.00
2010,2,149.00,36.00
2011,2,162.00,33.00
2012,2,161.00,42.00
2013,2,148.00,36.00
2014,2,159.00,35.00
2015,2,163.00,25.00
2016,2,156.00,33.00
2017,2,135.00,23.00
2018,2,156.00,25.00
2019,2,152.00,38.00
2020,2,138.00,20.00
2021,2,111.00,25.00
2010,3,142.00,47.00
2011,3,157.00,56.00
2012,3,128.00,52.00
2013,3,128.00,54.00
2014,3,107.00,42.00
2015,3,102.00,28.00
2016,3,154.00,37.00
2017,3,123.00,43.00
2018,3,93.00,28.00
2019,3,114.00,49.00
2020,3,86.00,23.00
2021,3,108.00,29.00
2010,4,5.00,0.00
2011,4,11.00,0.00
2012,4,5.00,0.00
2013,4,10.00,0.00
2014,4,9.00,0.00
2015,4,10.00,0.00
2016,4,3.00,0.00
2017,4,10.00,0.00
2018,4,7.00,0.00
2019,4,9.00,6.00
2020,4,6.00,0.00
2021,4,5.00,3.00
2010,5,313.00,33.00
2011,5,286.00,29.00
2012,5,299.00,32.00
2013,5,276.00,20.00
2014,5,413.00,20.00
2015,5,961.00,28.00
2016,5,1025.00,28.00
2017,5,777.00,26.00
2018,5,730.00,28.00
2019,5,763.00,25.00
2020,5,415.00,17.00
2021,5,432.00,26.00
2010,6,66.00,35.00
2011,6,100.00,33.00
2012,6,95.00,29.00
2013,6,112.00,34.00
2014,6,120.00,29.00
2015,6,135.00,28.00
2016,6,139.00,29.00
2017,6,104.00,24.00
2018,6,100.00,14.00
2019,6,149.00,26.00
2020,6,102.00,17.00
2021,6,122.00,32.00
2010,7,5696.00,1035.00
2011,7,5977.00,987.00
2012,7,6224.00,1097.00
2013,7,5631.00,903.00
2014,7,4857.00,795.00
2015,7,4657.00,601.00
2016,7,4990.00,646.00
2017,7,4758.00,579.00
2018,7,4920.00,619.00
2019,7,5793.00,670.00
2020,7,4746.00,441.00
2021,7,4392.00,526.00
