state,crime,weapon used,firearm,other weapon,no weapon
NSW,1,61.00,30.00,31.00,21.00
Vic,1,41.00,11.00,30.00,45.00
Qld,1,54.00,4.00,50.00,26.00
SA,1,17.00,9.00,8.00,8.00
WA,1,20.00,3.00,17.00,22.00
Tas,1,9.00,3.00,6.00,0.00
NT,1,13.00,0.00,13.00,0.00
ACT,1,7.00,0.00,7.00,3.00
NSW,2,31.00,7.00,24.00,22.00
Vic,2,33.00,11.00,22.00,19.00
Qld,2,16.00,3.00,13.00,19.00
SA,2,0.00,0.00,0.00,4.00
WA,2,12.00,0.00,12.00,4.00
Tas,2,5.00,0.00,5.00,0.00
NT,2,3.00,0.00,3.00,0.00
ACT,2,3.00,0.00,3.00,0.00
NSW,3,24.00,20.00,4.00,3.00
Vic,3,6.00,0.00,6.00,13.00
Qld,3,29.00,3.00,26.00,0.00
SA,3,15.00,3.00,12.00,0.00
WA,3,6.00,0.00,6.00,6.00
Tas,3,5.00,0.00,5.00,0.00
NT,3,8.00,0.00,8.00,0.00
ACT,3,3.00,0.00,3.00,0.00
NSW,16,2390.00,92.00,2298.00,62294.00
Vic,16,,,0.00,
Qld,16,,,0.00,
SA,16,4422.00,72.00,4350.00,13395.00
WA,16,4980.00,63.00,4917.00,28920.00
Tas,16,595.00,55.00,540.00,2921.00
NT,16,3711.00,18.00,3693.00,5345.00
ACT,16,277.00,3.00,274.00,2038.00
NSW,5,31.00,4.00,27.00,11517.00
Vic,5,152.00,3.00,149.00,6007.00
Qld,5,93.00,12.00,81.00,6455.00
SA,5,66.00,5.00,61.00,1623.00
WA,5,58.00,7.00,51.00,2405.00
Tas,5,9.00,0.00,9.00,454.00
NT,5,25.00,0.00,25.00,322.00
ACT,5,11.00,0.00,11.00,330.00
NSW,6,54.00,13.00,41.00,161.00
Vic,6,33.00,10.00,23.00,118.00
Qld,6,6.00,6.00,0.00,21.00
SA,6,21.00,6.00,15.00,18.00
WA,6,4.00,3.00,1.00,12.00
Tas,6,4.00,0.00,4.00,0.00
NT,6,0.00,0.00,0.00,0.00
ACT,6,0.00,0.00,0.00,0.00
NSW,7,863.00,108.00,755.00,1169.00
Vic,7,1353.00,99.00,1254.00,1030.00
Qld,7,1138.00,190.00,948.00,1310.00
SA,7,268.00,26.00,242.00,233.00
WA,7,533.00,85.00,448.00,586.00
Tas,7,48.00,17.00,31.00,73.00
NT,7,93.00,0.00,93.00,125.00
ACT,7,90.00,10.00,80.00,85.00
