year,gender,crime_id,AgeGroup,Count
2010,male,1,Under 18 years,31
2011,male,1,Under 18 years,25
2012,male,1,Under 18 years,22
2013,male,1,Under 18 years,19
2014,male,1,Under 18 years,19
2015,male,1,Under 18 years,22
2016,male,1,Under 18 years,26
2017,male,1,Under 18 years,26
2018,male,1,Under 18 years,23
2019,male,1,Under 18 years,22
2020,male,1,Under 18 years,23
2021,male,1,Under 18 years,33
2010,female,1,Under 18 years,25
2011,female,1,Under 18 years,22
2012,female,1,Under 18 years,23
2013,female,1,Under 18 years,17
2014,female,1,Under 18 years,25
2015,female,1,Under 18 years,31
2016,female,1,Under 18 years,18
2017,female,1,Under 18 years,13
2018,female,1,Under 18 years,21
2019,female,1,Under 18 years,13
2020,female,1,Under 18 years,22
2021,female,1,Under 18 years,14
2010,male,10,Under 18 years,19
2011,male,10,Under 18 years,10
2012,male,10,Under 18 years,13
2013,male,10,Under 18 years,11
2014,male,10,Under 18 years,11
2015,male,10,Under 18 years,13
2016,male,10,Under 18 years,17
2017,male,10,Under 18 years,16
2018,male,10,Under 18 years,12
2019,male,10,Under 18 years,15
2020,male,10,Under 18 years,25
2021,male,10,Under 18 years,60
2010,female,10,Under 18 years,11
2011,female,10,Under 18 years,8
2012,female,10,Under 18 years,13
2013,female,10,Under 18 years,16
2014,female,10,Under 18 years,13
2015,female,10,Under 18 years,27
2016,female,10,Under 18 years,20
2017,female,10,Under 18 years,28
2018,female,10,Under 18 years,21
2019,female,10,Under 18 years,37
2020,female,10,Under 18 years,30
2021,female,10,Under 18 years,22
2010,male,1,18-24 years,47
2011,male,1,18-24 years,42
2012,male,1,18-24 years,42
2013,male,1,18-24 years,38
2014,male,1,18-24 years,38
2015,male,1,18-24 years,34
2016,male,1,18-24 years,33
2017,male,1,18-24 years,40
2018,male,1,18-24 years,29
2019,male,1,18-24 years,32
2020,male,1,18-24 years,31
2021,male,1,18-24 years,28
2010,female,1,18-24 years,15
2011,female,1,18-24 years,20
2012,female,1,18-24 years,18
2013,female,1,18-24 years,22
2014,female,1,18-24 years,13
2015,female,1,18-24 years,13
2016,female,1,18-24 years,20
2017,female,1,18-24 years,17
2018,female,1,18-24 years,6
2019,female,1,18-24 years,17
2020,female,1,18-24 years,14
2021,female,1,18-24 years,15
2010,male,10,18-24 years,42
2011,male,10,18-24 years,34
2012,male,10,18-24 years,48
2013,male,10,18-24 years,63
2014,male,10,18-24 years,73
2015,male,10,18-24 years,72
2016,male,10,18-24 years,73
2017,male,10,18-24 years,63
2018,male,10,18-24 years,83
2019,male,10,18-24 years,66
2020,male,10,18-24 years,101
2021,male,10,18-24 years,134
2010,female,10,18-24 years,25
2011,female,10,18-24 years,31
2012,female,10,18-24 years,23
2013,female,10,18-24 years,39
2014,female,10,18-24 years,38
2015,female,10,18-24 years,25
2016,female,10,18-24 years,33
2017,female,10,18-24 years,27
2018,female,10,18-24 years,35
2019,female,10,18-24 years,29
2020,female,10,18-24 years,24
2021,female,10,18-24 years,35
2010,male,1,25-34 years,50
2011,male,1,25-34 years,75
2012,male,1,25-34 years,87
2013,male,1,25-34 years,82
2014,male,1,25-34 years,47
2015,male,1,25-34 years,71
2016,male,1,25-34 years,73
2017,male,1,25-34 years,65
2018,male,1,25-34 years,37
2019,male,1,25-34 years,71
2020,male,1,25-34 years,46
2021,male,1,25-34 years,61
2010,female,1,25-34 years,32
2011,female,1,25-34 years,30
2012,female,1,25-34 years,28
2013,female,1,25-34 years,33
2014,female,1,25-34 years,30
2015,female,1,25-34 years,32
2016,female,1,25-34 years,40
2017,female,1,25-34 years,25
2018,female,1,25-34 years,22
2019,female,1,25-34 years,33
2020,female,1,25-34 years,21
2021,female,1,25-34 years,25
2010,male,10,25-34 years,68
2011,male,10,25-34 years,44
2012,male,10,25-34 years,85
2013,male,10,25-34 years,68
2014,male,10,25-34 years,93
2015,male,10,25-34 years,74
2016,male,10,25-34 years,84
2017,male,10,25-34 years,83
2018,male,10,25-34 years,90
2019,male,10,25-34 years,75
2020,male,10,25-34 years,68
2021,male,10,25-34 years,102
2010,female,10,25-34 years,38
2011,female,10,25-34 years,27
2012,female,10,25-34 years,25
2013,female,10,25-34 years,41
2014,female,10,25-34 years,24
2015,female,10,25-34 years,37
2016,female,10,25-34 years,39
2017,female,10,25-34 years,50
2018,female,10,25-34 years,33
2019,female,10,25-34 years,38
2020,female,10,25-34 years,35
2021,female,10,25-34 years,31
2010,male,1,35-44 years,66
2011,male,1,35-44 years,69
2012,male,1,35-44 years,62
2013,male,1,35-44 years,51
2014,male,1,35-44 years,66
2015,male,1,35-44 years,59
2016,male,1,35-44 years,59
2017,male,1,35-44 years,79
2018,male,1,35-44 years,58
