year,state,crime,count
1993,NSW,Homicide_and_related_offences,206
1993,NSW,Murder,118
1993,NSW,Attempted_murder,85
1993,NSW,Manslaughter,7
1993,NSW,Assault,20048.51563
1993,NSW,Sexual_assault,3794
1993,NSW,Kidnapping_abduction,312
1993,NSW,Robbery,6003
1993,NSW,Armed_robbery,2310
1993,NSW,Unarmed_robbery,3689
1993,NSW,Blackmail_extortion,6
1993,NSW,Unlawful_entry_with_intent,110445
1993,NSW,Involving_the_taking_of_property,24772.54297
1993,NSW,Other_unlawful_entry,9363.290039
1993,NSW,Motor_vehicle_theft,39064
1993,NSW,Other_theft,67008.5625
1994,NSW,Homicide_and_related_offences,178
1994,NSW,Murder,108
1994,NSW,Attempted_murder,60
1994,NSW,Manslaughter,7
1994,NSW,Assault,20048.51563
1994,NSW,Sexual_assault,4611
1994,NSW,Kidnapping_abduction,225
1994,NSW,Robbery,7350
1994,NSW,Armed_robbery,2217
1994,NSW,Unarmed_robbery,5129
1994,NSW,Blackmail_extortion,8
1994,NSW,Unlawful_entry_with_intent,120006
1994,NSW,Involving_the_taking_of_property,24772.54297
1994,NSW,Other_unlawful_entry,9363.290039
1994,NSW,Motor_vehicle_theft,45480
1994,NSW,Other_theft,67008.5625
1995,NSW,Homicide_and_related_offences,167
1995,NSW,Murder,103
1995,NSW,Attempted_murder,57
1995,NSW,Manslaughter,8
1995,NSW,Assault,37863
1995,NSW,Sexual_assault,4159
1995,NSW,Kidnapping_abduction,171
1995,NSW,Robbery,7646
1995,NSW,Armed_robbery,2413
1995,NSW,Unarmed_robbery,5235
1995,NSW,Blackmail_extortion,16
1995,NSW,Unlawful_entry_with_intent,133289
1995,NSW,Involving_the_taking_of_property,109905
1995,NSW,Other_unlawful_entry,23386
1995,NSW,Motor_vehicle_theft,46593
1995,NSW,Other_theft,139431
1996,NSW,Homicide_and_related_offences,198
1996,NSW,Murder,95
1996,NSW,Attempted_murder,85
1996,NSW,Manslaughter,15
1996,NSW,Assault,47828
1996,NSW,Sexual_assault,5038
1996,NSW,Kidnapping_abduction,213
1996,NSW,Robbery,8828
1996,NSW,Armed_robbery,3017
1996,NSW,Unarmed_robbery,5806
1996,NSW,Blackmail_extortion,40
1996,NSW,Unlawful_entry_with_intent,151817
1996,NSW,Involving_the_taking_of_property,125305
1996,NSW,Other_unlawful_entry,26513
1996,NSW,Motor_vehicle_theft,48845
1996,NSW,Other_theft,158197
1997,NSW,Homicide_and_related_offences,221
1997,NSW,Murder,110
1997,NSW,Attempted_murder,100
1997,NSW,Manslaughter,11
1997,NSW,Assault,55995
1997,NSW,Sexual_assault,4660
1997,NSW,Kidnapping_abduction,273
1997,NSW,Robbery,12571
1997,NSW,Armed_robbery,4980
1997,NSW,Unarmed_robbery,7591
1997,NSW,Blackmail_extortion,55
1997,NSW,Unlawful_entry_with_intent,165150
1997,NSW,Involving_the_taking_of_property,137437
1997,NSW,Other_unlawful_entry,27708
1997,NSW,Motor_vehicle_theft,54710
1997,NSW,Other_theft,165200
1998,NSW,Homicide_and_related_offences,239
1998,NSW,Murder,93
1998,NSW,Attempted_murder,121
1998,NSW,Manslaughter,26
1998,NSW,Assault,59219
1998,NSW,Sexual_assault,4503
1998,NSW,Kidnapping_abduction,379
1998,NSW,Robbery,13324
1998,NSW,Armed_robbery,5719
1998,NSW,Unarmed_robbery,7608
1998,NSW,Blackmail_extortion,63
1998,NSW,Unlawful_entry_with_intent,171863
1998,NSW,Involving_the_taking_of_property,142216
1998,NSW,Other_unlawful_entry,29649
1998,NSW,Motor_vehicle_theft,52836
1998,NSW,Other_theft,175916
1999,NSW,Homicide_and_related_offences,267
1999,NSW,Murder,124
1999,NSW,Attempted_murder,132
1999,NSW,Manslaughter,14
1999,NSW,Assault,63813
1999,NSW,Sexual_assault,4427
1999,NSW,Kidnapping_abduction,447
1999,NSW,Robbery,12553
1999,NSW,Armed_robbery,4616
1999,NSW,Unarmed_robbery,7937
1999,NSW,Blackmail_extortion,59
1999,NSW,Unlawful_entry_with_intent,150998
1999,NSW,Involving_the_taking_of_property,121708
1999,NSW,Other_unlawful_entry,29293
1999,NSW,Motor_vehicle_theft,47356
1999,NSW,Other_theft,200087
2000,NSW,Homicide_and_related_offences,262
2000,NSW,Murder,98
2000,NSW,Attempted_murder,149
2000,NSW,Manslaughter,12
2000,NSW,Assault,68714
2000,NSW,Sexual_assault,5975
2000,NSW,Kidnapping_abduction,385
2000,NSW,Robbery,13328
2000,NSW,Armed_robbery,4691
2000,NSW,Unarmed_robbery,8635
2000,NSW,Blackmail_extortion,62
2000,NSW,Unlawful_entry_with_intent,160609
2000,NSW,Involving_the_taking_of_property,126940
2000,NSW,Other_unlawful_entry,33665
2000,NSW,Motor_vehicle_theft,51246
2000,NSW,Other_theft,232297
2001,NSW,Homicide_and_related_offences,313
2001,NSW,Murder,103
2001,NSW,Attempted_murder,207
2001,NSW,Manslaughter,8
2001,NSW,Assault,75461
2001,NSW,Sexual_assault,6268
2001,NSW,Kidnapping_abduction,470
2001,NSW,Robbery,15234
2001,NSW,Armed_robbery,5614
2001,NSW,Unarmed_robbery,9617
2001,NSW,Blackmail_extortion,66
2001,NSW,Unlawful_entry_with_intent,162040
2001,NSW,Involving_the_taking_of_property,125983
2001,NSW,Other_unlawful_entry,36059
2001,NSW,Motor_vehicle_theft,52282
2001,NSW,Other_theft,229573
2002,NSW,Homicide_and_related_offences,256
2002,NSW,Murder,96
2002,NSW,Attempted_murder,144
2002,NSW,Manslaughter,16
2002,NSW,Assault,80028
2002,NSW,Sexual_assault,6477
2002,NSW,Kidnapping_abduction,435
2002,NSW,Robbery,11707
2002,NSW,Armed_robbery,3812
2002,NSW,Unarmed_robbery,7892
2002,NSW,Blackmail_extortion,79
2002,NSW,Unlawful_entry_with_intent,141170
2002,NSW,Involving_the_taking_of_property,109306
2002,NSW,Other_unlawful_entry,31859
2002,NSW,Motor_vehicle_theft,41663
2002,NSW,Other_theft,211905
2003,NSW,Homicide_and_related_offences,233
2003,NSW,Murder,100
2003,NSW,Attempted_murder,120
2003,NSW,Manslaughter,13
2003,NSW,Assault,79890
2003,NSW,Sexual_assault,6799
2003,NSW,Kidnapping_abduction,421
2003,NSW,Robbery,10849
2003,NSW,Armed_robbery,3316
2003,NSW,Unarmed_robbery,7526
2003,NSW,Blackmail_extortion,78
2003,NSW,Unlawful_entry_with_intent,128488
2003,NSW,Involving_the_taking_of_property,98792
2003,NSW,Other_unlawful_entry,29698
2003,NSW,Motor_vehicle_theft,34825
2003,NSW,Other_theft,194008
2004,NSW,Homicide_and_related_offences,149
2004,NSW,Murder,75
2004,NSW,Attempted_murder,73
2004,NSW,Manslaughter,3
2004,NSW,Assault,78305
2004,NSW,Sexual_assault,7072
2004,NSW,Kidnapping_abduction,467
2004,NSW,Robbery,8885
2004,NSW,Armed_robbery,2864
2004,NSW,Unarmed_robbery,6021
2004,NSW,Blackmail_extortion,94
2004,NSW,Unlawful_entry_with_intent,110763
2004,NSW,Involving_the_taking_of_property,84045
2004,NSW,Other_unlawful_entry,26719
2004,NSW,Motor_vehicle_theft,33208
2004,NSW,Other_theft,170293
2005,NSW,Homicide_and_related_offences,153
2005,NSW,Murder,86
2005,NSW,Attempted_murder,60
2005,NSW,Manslaughter,3
2005,NSW,Assault,81165
2005,NSW,Sexual_assault,6826
2005,NSW,Kidnapping_abduction,462
2005,NSW,Robbery,9565
2005,NSW,Armed_robbery,3881
2005,NSW,Unarmed_robbery,5685
2005,NSW,Blackmail_extortion,85
2005,NSW,Unlawful_entry_with_intent,103448
2005,NSW,Involving_the_taking_of_property,77986
2005,NSW,Other_unlawful_entry,25463
2005,NSW,Motor_vehicle_theft,29096
2005,NSW,Other_theft,157984
2006,NSW,Homicide_and_related_offences,176
2006,NSW,Murder,105
2006,NSW,Attempted_murder,69
2006,NSW,Manslaughter,4
2006,NSW,Assault,82773
2006,NSW,Sexual_assault,6669
2006,NSW,Kidnapping_abduction,450
2006,NSW,Robbery,9240
2006,NSW,Armed_robbery,3781
2006,NSW,Unarmed_robbery,5457
2006,NSW,Blackmail_extortion,81
2006,NSW,Unlawful_entry_with_intent,87542
2006,NSW,Involving_the_taking_of_property,61736
2006,NSW,Other_unlawful_entry,25805
2006,NSW,Motor_vehicle_theft,27960
2006,NSW,Other_theft,157361
2007,NSW,Homicide_and_related_offences,162
2007,NSW,Murder,95
2007,NSW,Attempted_murder,61
2007,NSW,Manslaughter,9
2007,NSW,Assault,84852
2007,NSW,Sexual_assault,6787
2007,NSW,Kidnapping_abduction,446
2007,NSW,Robbery,9344
2007,NSW,Armed_robbery,3873
2007,NSW,Unarmed_robbery,5471
2007,NSW,Blackmail_extortion,77
2007,NSW,Unlawful_entry_with_intent,84764
2007,NSW,Involving_the_taking_of_property,59370
2007,NSW,Other_unlawful_entry,25389
2007,NSW,Motor_vehicle_theft,26478
2007,NSW,Other_theft,151372
2008,NSW,Homicide_and_related_offences,153
2008,NSW,Murder,80
2008,NSW,Attempted_murder,66
2008,NSW,Manslaughter,12
2008,NSW,Assault,79846
2008,NSW,Sexual_assault,7142
2008,NSW,Kidnapping_abduction,541
2008,NSW,Robbery,8091
2008,NSW,Armed_robbery,2897
2008,NSW,Unarmed_robbery,5188
2008,NSW,Blackmail_extortion,93
2008,NSW,Unlawful_entry_with_intent,80436
2008,NSW,Involving_the_taking_of_property,56517
2008,NSW,Other_unlawful_entry,23916
2008,NSW,Motor_vehicle_theft,25651
2008,NSW,Other_theft,144461
2009,NSW,Homicide_and_related_offences,143
2009,NSW,Murder,84
2009,NSW,Attempted_murder,48
2009,NSW,Manslaughter,12
2009,NSW,Assault,75814
2009,NSW,Sexual_assault,7080
2009,NSW,Kidnapping_abduction,381
2009,NSW,Robbery,6760
2009,NSW,Armed_robbery,2690
2009,NSW,Unarmed_robbery,4067
2009,NSW,Blackmail_extortion,183
2009,NSW,Unlawful_entry_with_intent,70426
2009,NSW,Involving_the_taking_of_property,49669
2009,NSW,Other_unlawful_entry,20761
2009,NSW,Motor_vehicle_theft,21426
2009,NSW,Other_theft,144696
2010,NSW,Homicide_and_related_offences,133
2010,NSW,Murder,73
2010,NSW,Attempted_murder,45
2010,NSW,Manslaughter,11
2010,NSW,Assault,73968
2010,NSW,Sexual_assault,7269
2010,NSW,Kidnapping_abduction,329
2010,NSW,Robbery,6569
2010,NSW,Armed_robbery,2150
2010,NSW,Unarmed_robbery,4423
2010,NSW,Blackmail_extortion,173
2010,NSW,Unlawful_entry_with_intent,59721
2010,NSW,Involving_the_taking_of_property,40101
2010,NSW,Other_unlawful_entry,19625
2010,NSW,Motor_vehicle_theft,19406
2010,NSW,Other_theft,145399
2011,NSW,Homicide_and_related_offences,153
2011,NSW,Murder,82
2011,NSW,Attempted_murder,59
2011,NSW,Manslaughter,3
2011,NSW,Assault,71165
2011,NSW,Sexual_assault,7024
2011,NSW,Kidnapping_abduction,409
2011,NSW,Robbery,5327
2011,NSW,Armed_robbery,2104
2011,NSW,Unarmed_robbery,3221
2011,NSW,Blackmail_extortion,137
2011,NSW,Unlawful_entry_with_intent,58269
2011,NSW,Involving_the_taking_of_property,38924
2011,NSW,Other_unlawful_entry,19351
2011,NSW,Motor_vehicle_theft,19208
2011,NSW,Other_theft,151977
2012,NSW,Homicide_and_related_offences,107
2012,NSW,Murder,61
2012,NSW,Attempted_murder,35
2012,NSW,Manslaughter,9
2012,NSW,Assault,68745
2012,NSW,Sexual_assault,7628
2012,NSW,Kidnapping_abduction,348
2012,NSW,Robbery,5100
2012,NSW,Armed_robbery,2127
2012,NSW,Unarmed_robbery,2973
2012,NSW,Blackmail_extortion,125
2012,NSW,Unlawful_entry_with_intent,58228
2012,NSW,Involving_the_taking_of_property,38673
2012,NSW,Other_unlawful_entry,19554
2012,NSW,Motor_vehicle_theft,17198
2012,NSW,Other_theft,154335
2013,NSW,Homicide_and_related_offences,131
2013,NSW,Murder,85
2013,NSW,Attempted_murder,48
2013,NSW,Manslaughter,0
2013,NSW,Assault,68963
2013,NSW,Sexual_assault,8121
2013,NSW,Kidnapping_abduction,305
2013,NSW,Robbery,4723
2013,NSW,Armed_robbery,1984
2013,NSW,Unarmed_robbery,2741
2013,NSW,Blackmail_extortion,113
2013,NSW,Unlawful_entry_with_intent,49902
2013,NSW,Involving_the_taking_of_property,32700
2013,NSW,Other_unlawful_entry,17206
2013,NSW,Motor_vehicle_theft,15114
2013,NSW,Other_theft,147627
2014,NSW,Homicide_and_related_offences,107
2014,NSW,Murder,75
2014,NSW,Attempted_murder,30
2014,NSW,Manslaughter,0
2014,NSW,Assault,65576
2014,NSW,Sexual_assault,8192
2014,NSW,Kidnapping_abduction,305
2014,NSW,Robbery,3850
2014,NSW,Armed_robbery,1772
2014,NSW,Unarmed_robbery,2078
2014,NSW,Blackmail_extortion,122
2014,NSW,Unlawful_entry_with_intent,46221
2014,NSW,Involving_the_taking_of_property,30262
2014,NSW,Other_unlawful_entry,15962
2014,NSW,Motor_vehicle_theft,14110
2014,NSW,Other_theft,138254
2015,NSW,Homicide_and_related_offences,104
2015,NSW,Murder,67
2015,NSW,Attempted_murder,32
2015,NSW,Manslaughter,5
2015,NSW,Assault,65140
2015,NSW,Sexual_assault,8603
2015,NSW,Kidnapping_abduction,257
2015,NSW,Robbery,2930
2015,NSW,Armed_robbery,1191
2015,NSW,Unarmed_robbery,1736
2015,NSW,Blackmail_extortion,139
2015,NSW,Unlawful_entry_with_intent,43316
2015,NSW,Involving_the_taking_of_property,26736
2015,NSW,Other_unlawful_entry,16574
2015,NSW,Motor_vehicle_theft,13032
2015,NSW,Other_theft,135407
2016,NSW,Homicide_and_related_offences,100
2016,NSW,Murder,65
2016,NSW,Attempted_murder,27
2016,NSW,Manslaughter,5
2016,NSW,Assault,65260
2016,NSW,Sexual_assault,8795
2016,NSW,Kidnapping_abduction,267
2016,NSW,Robbery,2602
2016,NSW,Armed_robbery,1068
2016,NSW,Unarmed_robbery,1531
2016,NSW,Blackmail_extortion,114
2016,NSW,Unlawful_entry_with_intent,41206
2016,NSW,Involving_the_taking_of_property,25284
2016,NSW,Other_unlawful_entry,15922
2016,NSW,Motor_vehicle_theft,12013
2016,NSW,Other_theft,135728
2017,NSW,Homicide_and_related_offences,77
2017,NSW,Murder,49
2017,NSW,Attempted_murder,15
2017,NSW,Manslaughter,10
2017,NSW,Assault,65460
2017,NSW,Sexual_assault,9847
2017,NSW,Kidnapping_abduction,230
2017,NSW,Robbery,2676
2017,NSW,Armed_robbery,1035
2017,NSW,Unarmed_robbery,1639
2017,NSW,Blackmail_extortion,96
2017,NSW,Unlawful_entry_with_intent,38223
2017,NSW,Involving_the_taking_of_property,23145
2017,NSW,Other_unlawful_entry,15082
2017,NSW,Motor_vehicle_theft,12377
2017,NSW,Other_theft,132202
2018,NSW,Homicide_and_related_offences,102
2018,NSW,Murder,70
2018,NSW,Attempted_murder,22
2018,NSW,Manslaughter,9
2018,NSW,Assault,66111
2018,NSW,Sexual_assault,10241
2018,NSW,Kidnapping_abduction,212
2018,NSW,Robbery,2817
2018,NSW,Armed_robbery,1118
2018,NSW,Unarmed_robbery,1707
2018,NSW,Blackmail_extortion,114
2018,NSW,Unlawful_entry_with_intent,36684
2018,NSW,Involving_the_taking_of_property,22043
2018,NSW,Other_unlawful_entry,14642
2018,NSW,Motor_vehicle_theft,12290
2018,NSW,Other_theft,132909
2019,NSW,Homicide_and_related_offences,116
2019,NSW,Murder,76
2019,NSW,Attempted_murder,26
2019,NSW,Manslaughter,13
2019,NSW,Assault,67661
2019,NSW,Sexual_assault,11009
2019,NSW,Kidnapping_abduction,225
2019,NSW,Robbery,2861
2019,NSW,Armed_robbery,1205
2019,NSW,Unarmed_robbery,1659
2019,NSW,Blackmail_extortion,93
2019,NSW,Unlawful_entry_with_intent,34564
2019,NSW,Involving_the_taking_of_property,20519
2019,NSW,Other_unlawful_entry,14043
2019,NSW,Motor_vehicle_theft,12642
2019,NSW,Other_theft,133666
2020,NSW,Homicide_and_related_offences,99
2020,NSW,Murder,68
2020,NSW,Attempted_murder,27
2020,NSW,Manslaughter,0
2020,NSW,Assault,64907
2020,NSW,Sexual_assault,11276
2020,NSW,Kidnapping_abduction,162
2020,NSW,Robbery,2482
2020,NSW,Armed_robbery,1187
2020,NSW,Unarmed_robbery,1292
2020,NSW,Blackmail_extortion,101
2020,NSW,Unlawful_entry_with_intent,26084
2020,NSW,Involving_the_taking_of_property,14847
2020,NSW,Other_unlawful_entry,11238
2020,NSW,Motor_vehicle_theft,9435
2020,NSW,Other_theft,99245
2021,NSW,Homicide_and_related_offences,81
2021,NSW,Murder,55
2021,NSW,Attempted_murder,28
2021,NSW,Manslaughter,0
2021,NSW,Assault,64689
2021,NSW,Sexual_assault,11546
2021,NSW,Kidnapping_abduction,210
2021,NSW,Robbery,2031
2021,NSW,Armed_robbery,863
2021,NSW,Unarmed_robbery,1169
2021,NSW,Blackmail_extortion,134
2021,NSW,Unlawful_entry_with_intent,28200
2021,NSW,Involving_the_taking_of_property,16551
2021,NSW,Other_unlawful_entry,11648
2021,NSW,Motor_vehicle_theft,9917
2021,NSW,Other_theft,94722
1993,VIC,Homicide_and_related_offences,116
1993,VIC,Murder,52
1993,VIC,Attempted_murder,59
1993,VIC,Manslaughter,3
1993,VIC,Assault,20048.51563
1993,VIC,Sexual_assault,2829
1993,VIC,Kidnapping_abduction,64
1993,VIC,Robbery,1875
1993,VIC,Armed_robbery,962
1993,VIC,Unarmed_robbery,918
1993,VIC,Blackmail_extortion,49
1993,VIC,Unlawful_entry_with_intent,80077
1993,VIC,Involving_the_taking_of_property,24772.54297
1993,VIC,Other_unlawful_entry,9363.290039
1993,VIC,Motor_vehicle_theft,27405
1993,VIC,Other_theft,67008.5625
1994,VIC,Homicide_and_related_offences,117
1994,VIC,Murder,58
1994,VIC,Attempted_murder,57
1994,VIC,Manslaughter,6
1994,VIC,Assault,20048.51563
1994,VIC,Sexual_assault,2836
1994,VIC,Kidnapping_abduction,98
1994,VIC,Robbery,1619
1994,VIC,Armed_robbery,772
1994,VIC,Unarmed_robbery,846
1994,VIC,Blackmail_extortion,72
1994,VIC,Unlawful_entry_with_intent,71614
1994,VIC,Involving_the_taking_of_property,24772.54297
1994,VIC,Other_unlawful_entry,9363.290039
1994,VIC,Motor_vehicle_theft,27410
1994,VIC,Other_theft,67008.5625
1995,VIC,Homicide_and_related_offences,110
1995,VIC,Murder,61
1995,VIC,Attempted_murder,45
1995,VIC,Manslaughter,7
1995,VIC,Assault,20048.51563
1995,VIC,Sexual_assault,2802
1995,VIC,Kidnapping_abduction,98
1995,VIC,Robbery,1704
1995,VIC,Armed_robbery,757
1995,VIC,Unarmed_robbery,947
1995,VIC,Blackmail_extortion,55
1995,VIC,Unlawful_entry_with_intent,70921
1995,VIC,Involving_the_taking_of_property,56168
1995,VIC,Other_unlawful_entry,14757
1995,VIC,Motor_vehicle_theft,29262
1995,VIC,Other_theft,111694
1996,VIC,Homicide_and_related_offences,89
1996,VIC,Murder,49
1996,VIC,Attempted_murder,35
1996,VIC,Manslaughter,3
1996,VIC,Assault,20048.51563
1996,VIC,Sexual_assault,2810
1996,VIC,Kidnapping_abduction,97
1996,VIC,Robbery,1913
1996,VIC,Armed_robbery,845
1996,VIC,Unarmed_robbery,1064
1996,VIC,Blackmail_extortion,84
1996,VIC,Unlawful_entry_with_intent,70751
1996,VIC,Involving_the_taking_of_property,54939
1996,VIC,Other_unlawful_entry,15819
1996,VIC,Motor_vehicle_theft,28765
1996,VIC,Other_theft,119573
1997,VIC,Homicide_and_related_offences,112
1997,VIC,Murder,61
1997,VIC,Attempted_murder,41
1997,VIC,Manslaughter,3
1997,VIC,Assault,20048.51563
1997,VIC,Sexual_assault,3005
1997,VIC,Kidnapping_abduction,97
1997,VIC,Robbery,2491
1997,VIC,Armed_robbery,1198
1997,VIC,Unarmed_robbery,1293
1997,VIC,Blackmail_extortion,129
1997,VIC,Unlawful_entry_with_intent,74147
1997,VIC,Involving_the_taking_of_property,57386
1997,VIC,Other_unlawful_entry,16765
1997,VIC,Motor_vehicle_theft,30450
1997,VIC,Other_theft,119868
1998,VIC,Homicide_and_related_offences,104
1998,VIC,Murder,44
1998,VIC,Attempted_murder,50
1998,VIC,Manslaughter,0
1998,VIC,Assault,20048.51563
1998,VIC,Sexual_assault,3321
1998,VIC,Kidnapping_abduction,113
1998,VIC,Robbery,2997
1998,VIC,Armed_robbery,1552
1998,VIC,Unarmed_robbery,1441
1998,VIC,Blackmail_extortion,90
1998,VIC,Unlawful_entry_with_intent,70592
1998,VIC,Involving_the_taking_of_property,54882
1998,VIC,Other_unlawful_entry,15705
1998,VIC,Motor_vehicle_theft,29560
1998,VIC,Other_theft,125567
1999,VIC,Homicide_and_related_offences,122
1999,VIC,Murder,59
1999,VIC,Attempted_murder,58
1999,VIC,Manslaughter,7
1999,VIC,Assault,20048.51563
1999,VIC,Sexual_assault,3398
1999,VIC,Kidnapping_abduction,123
