year,Crime,TotalCount,NewDateColumn
1999,Homicide_and_related_offences,737,1/01/1999
2017,Other_unlawful_entry,60351,1/01/2017
1998,Murder,282,1/01/1998
2002,Kidnapping_abduction,708,1/01/2002
2010,Sexual_assault,18852,1/01/2010
2013,Armed_robbery,5624,1/01/2013
2016,Homicide_and_related_offences,453,1/01/2016
2004,Motor_vehicle_theft,87930,1/01/2004
1993,Manslaughter,42,1/01/1993
2009,Attempted_murder,235,1/01/2009
1995,Robbery,14568,1/01/1995
2002,Unlawful_entry_with_intent,394333,1/01/2002
2003,Other_theft,624036,1/01/2003
2012,Murder,239,1/01/2012
1997,Involving_the_taking_of_property,332532,1/01/1997
2003,Assault,160793.0313,1/01/2003
2007,Robbery,17986,1/01/2007
2019,Unlawful_entry_with_intent,173349,1/01/2019
1997,Attempted_murder,312,1/01/1997
2005,Manslaughter,42,1/01/2005
2011,Blackmail_extortion,417,1/01/2011
1994,Blackmail_extortion,153,1/01/1994
2011,Kidnapping_abduction,683,1/01/2011
2014,Involving_the_taking_of_property,122962,1/01/2014
2021,Robbery,9135,1/01/2021
2001,Armed_robbery,11225,1/01/2001
2017,Other_theft,510397,1/01/2017
2019,Manslaughter,38,1/01/2019
2005,Other_unlawful_entry,79153,1/01/2005
1997,Unarmed_robbery,12255,1/01/1997
2000,Unlawful_entry_with_intent,436962,1/01/2000
2016,Motor_vehicle_theft,56046,1/01/2016
2005,Sexual_assault,18699,1/01/2005
2011,Homicide_and_related_offences,479,1/01/2011
1999,Motor_vehicle_theft,129552,1/01/1999
1998,Manslaughter,45,1/01/1998
2014,Attempted_murder,150,1/01/2014
2000,Robbery,23338,1/01/2000
2011,Unarmed_robbery,7674,1/01/2011
2020,Blackmail_extortion,517,1/01/2020
1998,Other_theft,563193,1/01/1998
2015,Armed_robbery,4658,1/01/2015
1996,Sexual_assault,14558,1/01/1996
2017,Murder,200,1/01/2017
1998,Assault,134826.0313,1/01/1998
2014,Unlawful_entry_with_intent,181890,1/01/2014
2015,Other_theft,509643,1/01/2015
2002,Attempted_murder,404,1/01/2002
2006,Blackmail_extortion,441,1/01/2006
2009,Involving_the_taking_of_property,156363,1/01/2009
2016,Kidnapping_abduction,537,1/01/2016
2000,Murder,309,1/01/2000
2007,Manslaughter,26,1/01/2007
2010,Other_unlawful_entry,63905,1/01/2010
2002,Unarmed_robbery,13147,1/01/2002
2009,Robbery,15250,1/01/2009
2015,Assault,163696.0313,1/01/2015
1995,Unlawful_entry_with_intent,385223,1/01/1995
2011,Motor_vehicle_theft,56078,1/01/2011
2016,Attempted_murder,190,1/01/2016
2006,Homicide_and_related_offences,567,1/01/2006
1996,Other_theft,522223,1/01/1996
2003,Sexual_assault,18034,1/01/2003
2016,Unarmed_robbery,4419,1/01/2016
1995,Involving_the_taking_of_property,303283,1/01/1995
1997,Motor_vehicle_theft,130134,1/01/1997
2018,Blackmail_extortion,567,1/01/2018
2020,Armed_robbery,4746,1/01/2020
1994,Armed_robbery,5050,1/01/1994
2004,Unarmed_robbery,10484,1/01/2004
1996,Assault,120187.0313,1/01/1996
2009,Unlawful_entry_with_intent,222710,1/01/2009
2010,Other_theft,477264,1/01/2010
1998,Other_unlawful_entry,94809,1/01/1998
2001,Blackmail_extortion,348,1/01/2001
2007,Attempted_murder,246,1/01/2007
2019,Murder,230,1/01/2019
1997,Homicide_and_related_offences,683,1/01/1997
2004,Involving_the_taking_of_property,226392,1/01/2004
2021,Kidnapping_abduction,440,1/01/2021
2005,Murder,259,1/01/2005
2012,Manslaughter,49,1/01/2012
2004,Kidnapping_abduction,775,1/01/2004
2010,Assault,180174.5469,1/01/2010
2014,Robbery,9893,1/01/2014
2017,Sexual_assault,25835,1/01/2017
2021,Involving_the_taking_of_property,85562,1/01/2021
2017,Assault,165620.0313,1/01/2017
2004,Homicide_and_related_offences,608,1/01/2004
2012,Other_unlawful_entry,67793,1/01/2012
2021,Attempted_murder,138,1/01/2021
1993,Murder,292,1/01/1993
1997,Kidnapping_abduction,565,1/01/1997
2008,Armed_robbery,6718,1/01/2008
2015,Sexual_assault,21950,1/01/2015
2009,Motor_vehicle_theft,58970,1/01/2009
1998,Sexual_assault,14657,1/01/1998
2007,Unlawful_entry_with_intent,248477,1/01/2007
2021,Unarmed_robbery,4743,1/01/2021
2013,Blackmail_extortion,506,1/01/2013
2018,Homicide_and_related_offences,379,1/01/2018
2007,Murder,261,1/01/2007
2009,Unarmed_robbery,8716,1/01/2009
2002,Involving_the_taking_of_property,292734,1/01/2002
2002,Robbery,20988,1/01/2002
2005,Other_theft,518334,1/01/2005
2000,Manslaughter,49,1/01/2000
2003,Other_unlawful_entry,91366,1/01/2003
1999,Blackmail_extortion,257,1/01/1999
1996,Armed_robbery,6243,1/01/1996
2018,Motor_vehicle_theft,53378,1/01/2018
1995,Attempted_murder,299,1/01/1995
2017,Manslaughter,46,1/01/2017
2009,Kidnapping_abduction,575,1/01/2009
2016,Involving_the_taking_of_property,125897,1/01/2016
2019,Robbery,11778,1/01/2019
2021,Unlawful_entry_with_intent,139102,1/01/2021
2001,Motor_vehicle_theft,139893,1/01/2001
1996,Manslaughter,41,1/01/1996
2002,Blackmail_extortion,352,1/01/2002
2006,Attempted_murder,243,1/01/2006
2018,Robbery,10130,1/01/2018
1993,Armed_robbery,5305,1/01/1993
1996,Homicide_and_related_offences,689,1/01/1996
2000,Unarmed_robbery,13858,1/01/2000
2014,Other_unlawful_entry,58929,1/01/2014
1993,Sexual_assault,12186,1/01/1993
2005,Kidnapping_abduction,729,1/01/2005
2005,Involving_the_taking_of_property,202844,1/01/2005
2021,Murder,191,1/01/2021
2010,Armed_robbery,5701,1/01/2010
2013,Homicide_and_related_offences,431,1/01/2013
2014,Unarmed_robbery,5035,1/01/2014
2006,Assault,171443.0313,1/01/2006
2017,Involving_the_taking_of_property,115935,1/01/2017
1999,Unlawful_entry_with_intent,415725,1/01/1999
2000,Other_theft,681267,1/01/2000
2009,Murder,258,1/01/2009
2014,Blackmail_extortion,523,1/01/2014
1995,Murder,328,1/01/1995
2013,Motor_vehicle_theft,52513,1/01/2013
2004,Robbery,16509,1/01/2004
2007,Sexual_assault,19959,1/01/2007
2014,Kidnapping_abduction,552,1/01/2014
2016,Unlawful_entry_with_intent,188760,1/01/2016
2020,Assault,170255.0313,1/01/2020
1996,Motor_vehicle_theft,122911,1/01/1996
1994,Homicide_and_related_offences,646,1/01/1994
1997,Blackmail_extortion,358,1/01/1997
2001,Manslaughter,39,1/01/2001
2002,Other_unlawful_entry,101570,1/01/2002
2011,Attempted_murder,186,1/01/2011
1998,Armed_robbery,10844,1/01/1998
2005,Unarmed_robbery,9844,1/01/2005
2007,Kidnapping_abduction,740,1/01/2007
2021,Other_theft,442474,1/01/2021
1994,Attempted_murder,341,1/01/1994
2012,Armed_robbery,6230,1/01/2012
2019,Other_unlawful_entry,60807,1/01/2019
1997,Unlawful_entry_with_intent,421571,1/01/1997
2000,Involving_the_taking_of_property,298925.0859,1/01/2000
2008,Homicide_and_related_offences,531,1/01/2008
1993,Kidnapping_abduction,624,1/01/1993
1997,Murder,315,1/01/1997
2019,Unarmed_robbery,5983,1/01/2019
2001,Assault,155419.0313,1/01/2001
2012,Involving_the_taking_of_property,147220,1/01/2012
1995,Other_theft,490525,1/01/1995
2018,Assault,165610.0313,1/01/2018
1993,Other_unlawful_entry,74906.32031,1/01/1993
2010,Manslaughter,28,1/01/2010
2014,Murder,247,1/01/2014
2009,Blackmail_extortion,642,1/01/2009
2019,Sexual_assault,26858,1/01/2019
2008,Motor_vehicle_theft,68260,1/01/2008
2012,Other_theft,512352,1/01/2012
2011,Unlawful_entry_with_intent,209148,1/01/2011
2019,Kidnapping_abduction,532,1/01/2019
2019,Other_theft,569240,1/01/2019
1993,Unarmed_robbery,7470,1/01/1993
2007,Other_unlawful_entry,75105,1/01/2007
1995,Blackmail_extortion,153,1/01/1995
2000,Sexual_assault,16407,1/01/2000
2003,Armed_robbery,7184,1/01/2003
2012,Kidnapping_abduction,639,1/01/2012
2013,Attempted_murder,153,1/01/2013
1994,Motor_vehicle_theft,119472,1/01/1994
1998,Involving_the_taking_of_property,339514,1/01/1998
1999,Attempted_murder,361,1/01/1999
1999,Assault,138820.0313,1/01/1999
2003,Manslaughter,41,1/01/2003
2017,Armed_robbery,4770,1/01/2017
1995,Kidnapping_abduction,463,1/01/1995
1993,Other_theft,536068.5,1/01/1993
2021,Other_unlawful_entry,53535,1/01/2021
2002,Murder,310,1/01/2002
2020,Homicide_and_related_offences,398,1/01/2020
2007,Involving_the_taking_of_property,173372,1/01/2007
1997,Robbery,21297,1/01/1997
2013,Assault,179442.5469,1/01/2013
2020,Motor_vehicle_theft,48092,1/01/2020
2015,Manslaughter,30,1/01/2015
2021,Blackmail_extortion,649,1/01/2021
2004,Blackmail_extortion,371,1/01/2004
2011,Robbery,13659,1/01/2011
2014,Sexual_assault,20739,1/01/2014
2007,Other_theft,491940,1/01/2007
1995,Other_unlawful_entry,81931,1/01/1995
2006,Unlawful_entry_with_intent,262004,1/01/2006
2007,Unarmed_robbery,10333,1/01/2007
2006,Motor_vehicle_theft,75379,1/01/2006
2014,Other_theft,485370,1/01/2014
1995,Sexual_assault,13107,1/01/1995
1995,Unarmed_robbery,9311,1/01/1995
2001,Homicide_and_related_offences,799,1/01/2001
2018,Attempted_murder,122,1/01/2018
1993,Involving_the_taking_of_property,198180.3438,1/01/1993
1994,Assault,160388.125,1/01/1994
2004,Attempted_murder,300,1/01/2004
2008,Manslaughter,26,1/01/2008
2000,Kidnapping_abduction,700,1/01/2000
2016,Murder,222,1/01/2016
2005,Armed_robbery,7326,1/01/2005
2015,Homicide_and_related_offences,417,1/01/2015
2004,Unlawful_entry_with_intent,308680,1/01/2004
2008,Assault,169552.0313,1/01/2008
2015,Motor_vehicle_theft,51524,1/01/2015
2004,Murder,258,1/01/2004
2016,Blackmail_extortion,542,1/01/2016
2020,Manslaughter,40,1/01/2020
2016,Robbery,9419,1/01/2016
2018,Unlawful_entry_with_intent,168982,1/01/2018
2019,Involving_the_taking_of_property,112548,1/01/2019
2000,Other_unlawful_entry,92725.58008,1/01/2000
1999,Robbery,22604,1/01/1999
2012,Sexual_assault,19448,1/01/2012
2012,Unarmed_robbery,6940,1/01/2012
2009,Other_theft,480324,1/01/2009
1997,Other_unlawful_entry,89040,1/01/1997
2018,Murder,231,1/01/2018
2003,Attempted_murder,360,1/01/2003
2008,Involving_the_taking_of_property,168960,1/01/2008
2007,Armed_robbery,7651,1/01/2007
2005,Blackmail_extortion,396,1/01/2005
2009,Assault,167110.0313,1/01/2009
2003,Unarmed_robbery,12512,1/01/2003
2015,Robbery,8973,1/01/2015
1993,Homicide_and_related_offences,702,1/01/1993
2011,Other_unlawful_entry,64542,1/01/2011
2013,Manslaughter,31,1/01/2013
2010,Homicide_and_related_offences,457,1/01/2010
2008,Kidnapping_abduction,794,1/01/2008
2021,Sexual_assault,31114,1/01/2021
2010,Motor_vehicle_theft,54814,1/01/2010
2001,Robbery,26585,1/01/2001
2004,Sexual_assault,19162,1/01/2004
2013,Unlawful_entry_with_intent,194535,1/01/2013
2017,Unarmed_robbery,4823,1/01/2017
1997,Other_theft,530875,1/01/1997
