year,crime_id,Investigation_not_finalised,Investigation_finalised_no_offender_proceeded_against,Investigation_finalised_offender_proceeded_against
2010,1,122,18,324
2011,1,138,21,305
2012,1,125,33,289
2013,1,140,28,271
2014,1,109,15,298
2015,1,112,15,284
2016,1,128,9,308
2017,1,157,13,267
2018,1,101,10,264
2019,1,137,11,267
2020,1,128,13,250
2021,1,136,13,222
2010,2,52,13,165
2011,2,72,17,160
2012,2,70,19,159
2013,2,69,22,153
2014,2,53,8,175
2015,2,65,9,157
2016,2,59,3,168
2017,2,64,6,137
2018,2,55,7,157
2019,2,69,0,160
2020,2,76,3,138
2021,2,56,11,125
2010,3,56,7,145
2011,3,47,7,137
2012,3,38,7,116
2013,3,51,11,103
2014,3,39,3,105
2015,3,33,7,114
2016,3,57,7,130
2017,3,74,3,101
2018,3,33,0,94
2019,3,49,8,88
2020,3,29,6,85
2021,3,48,3,79
2010,4,9,0,16
2011,4,19,0,9
2012,4,22,3,18
2013,4,12,0,11
2014,4,9,0,18
2015,4,12,0,13
2016,4,12,0,13
2017,4,15,4,24
2018,4,8,3,19
2019,4,20,0,19
2020,4,20,0,31
2021,4,29,0,12
2010,5,10558,3659,4641
2011,5,10581,3733,4298
2012,5,11218,4086,4144
2013,5,11608,4302,4120
2014,5,12211,4501,4030
2015,5,14341,3903,3703
2016,5,14575,4469,3993
2017,5,15827,5216,4797
2018,5,16782,5030,4518
2019,5,17791,5133,3939
2020,5,17930,5731,3875
2021,5,20548,6396,4176
2010,6,361,59,193
2011,6,420,59,199
2012,6,348,75,216
2013,6,333,70,195
2014,6,270,49,227
2015,6,280,35,219
2016,6,266,35,233
2017,6,210,32,237
2018,6,199,38,204
2019,6,254,36,232
2020,6,203,30,168
2021,6,201,32,218
2010,7,10159,735,3736
2011,7,9225,677,3746
2012,7,8320,1027,3819
2013,7,7609,633,3473
2014,7,6162,623,3110
2015,7,5522,451,2993
2016,7,5695,489,3230
2017,7,5629,477,3483
2018,7,5757,554,3816
2019,7,6822,593,4363
2020,7,5027,564,3824
2021,7,4721,595,3819
2010,8,3791,210,1695
2011,8,3887,212,1875
2012,8,3869,358,1999
2013,8,3515,231,1884
2014,8,2971,215,1673
2015,8,2803,160,1689
2016,8,2938,223,1825
2017,8,2695,181,1883
2018,8,2758,235,1931
2019,8,3260,242,2291
2020,8,2520,237,1988
2021,8,2216,243,1932
2010,9,6374,522,2037
2011,9,5338,467,1868
2012,9,4458,663,1815
2013,9,4099,399,1585
2014,9,3192,411,1436
2015,9,2719,295,1299
2016,9,2753,270,1401
2017,9,2933,290,1599
2018,9,3001,323,1887
2019,9,3566,345,2072
2020,9,2508,327,1836
2021,9,2506,357,1891
2010,10,307,66,107
2011,10,271,61,88
2012,10,270,63,114
2013,10,327,52,133
2014,10,314,78,134
2015,10,340,52,129
2016,10,363,49,124
2017,10,312,65,162
2018,10,372,63,143
2019,10,370,54,137
2020,10,376,45,100
2021,10,472,54,120
2010,11,186175,3460,18469
2011,11,188191,2404,18556
2012,11,192419,3839,18750
2013,11,174551,3265,16723
2014,11,161688,3199,17003
2015,11,163297,3391,17315
2016,11,165424,3479,19854
2017,11,153271,3181,19836
2018,11,146055,3249,19677
2019,11,150096,3419,19835
2020,11,113557,3058,17257
2021,11,115764,3383,19949
2010,12,129684,2071,12444
2011,12,130658,1446,12493
2012,12,132097,2377,12747
2013,12,118983,2007,11148
2014,12,109723,2054,11177
2015,12,109499,2110,11249
2016,12,110766,2112,13027
2017,12,101042,1827,13065
2018,12,95570,1786,12798
2019,12,97766,1927,12857
2020,12,71087,1578,10687
2021,12,71839,1673,12049
2010,13,56494,1387,6027
2011,13,57533,953,6058
2012,13,60322,1462,6005
2013,13,55567,1256,5566
2014,13,51961,1149,5819
2015,13,53795,1281,6067
2016,13,54658,1366,6828
2017,13,52231,1354,6764
2018,13,50484,1459,6884
2019,13,52332,1492,6980
2020,13,42469,1480,6569
2021,13,43921,1713,7898
2010,14,47400,1782,5642
2011,14,47652,1492,6928
2012,14,49828,1850,6876
2013,14,43925,2144,6446
2014,14,41527,2237,6416
2015,14,41775,2542,7203
2016,14,44165,2889,9003
2017,14,41360,2536,8546
2018,14,41943,2564,8875
2019,14,45427,2799,9761
2020,14,36329,2915,8849
2021,14,36960,2971,9808
2010,15,45506.42614,2015.971591,6921.607955
2011,15,45506.42614,2015.971591,6921.607955
2012,15,45506.42614,2015.971591,6921.607955
2013,15,45506.42614,2015.971591,6921.607955
2014,15,406416,18571,60382
2015,15,426798,19759,63094
2016,15,442904,20819,73548
2017,15,415448,22127,72811
2018,15,438939,22791,75816
2019,15,472525,23054,73673
2020,15,358630,21974,56018
2021,15,362450,25707,54306
