year,crime_id,ColumnName,Value
2014,1,under_6M,405
2014,1,_6M_to_1Y,5
2014,1,_1Y_to_2Y,6
2014,1,_2Y_to_5Y,0
2014,1,_5Y_to_10Y,0
2014,1,_10Y_to_20Y,3
2014,1,over_20Y,0
2015,1,under_6M,405
2015,1,_6M_to_1Y,3
2015,1,_1Y_to_2Y,0
2015,1,_2Y_to_5Y,4
2015,1,_5Y_to_10Y,3
2015,1,_10Y_to_20Y,0
2015,1,over_20Y,0
2016,1,under_6M,433
2016,1,_6M_to_1Y,6
2016,1,_1Y_to_2Y,0
2016,1,_2Y_to_5Y,3
2016,1,_5Y_to_10Y,0
2016,1,_10Y_to_20Y,3
2016,1,over_20Y,3
2017,1,under_6M,414
2017,1,_6M_to_1Y,3
2017,1,_1Y_to_2Y,4
2017,1,_2Y_to_5Y,3
2017,1,_5Y_to_10Y,4
2017,1,_10Y_to_20Y,0
2017,1,over_20Y,0
2018,1,under_6M,365
2018,1,_6M_to_1Y,3
2018,1,_1Y_to_2Y,0
2018,1,_2Y_to_5Y,3
2018,1,_5Y_to_10Y,0
2018,1,_10Y_to_20Y,0
2018,1,over_20Y,7
2019,1,under_6M,402
2019,1,_6M_to_1Y,3
2019,1,_1Y_to_2Y,0
2019,1,_2Y_to_5Y,3
2019,1,_5Y_to_10Y,3
2019,1,_10Y_to_20Y,0
2019,1,over_20Y,0
2020,1,under_6M,379
2020,1,_6M_to_1Y,3
2020,1,_1Y_to_2Y,3
2020,1,_2Y_to_5Y,4
2020,1,_5Y_to_10Y,3
2020,1,_10Y_to_20Y,0
2020,1,over_20Y,0
2021,1,under_6M,360
2021,1,_6M_to_1Y,7
2021,1,_1Y_to_2Y,3
2021,1,_2Y_to_5Y,0
2021,1,_5Y_to_10Y,0
2021,1,_10Y_to_20Y,0
2021,1,over_20Y,0
2014,5,under_6M,14956
2014,5,_6M_to_1Y,1008
2014,5,_1Y_to_2Y,874
2014,5,_2Y_to_5Y,1009
2014,5,_5Y_to_10Y,869
2014,5,_10Y_to_20Y,796
2014,5,over_20Y,1213
2015,5,under_6M,15157
2015,5,_6M_to_1Y,1110
2015,5,_1Y_to_2Y,889
2015,5,_2Y_to_5Y,1042
2015,5,_5Y_to_10Y,873
2015,5,_10Y_to_20Y,930
2015,5,over_20Y,1917
2016,5,under_6M,15348
2016,5,_6M_to_1Y,1310
2016,5,_1Y_to_2Y,1005
2016,5,_2Y_to_5Y,1300
2016,5,_5Y_to_10Y,1020
2016,5,_10Y_to_20Y,992
2016,5,over_20Y,2042
2017,5,under_6M,17036
2017,5,_6M_to_1Y,1462
2017,5,_1Y_to_2Y,1285
2017,5,_2Y_to_5Y,1436
2017,5,_5Y_to_10Y,1165
2017,5,_10Y_to_20Y,1100
2017,5,over_20Y,2346
2018,5,under_6M,17261
2018,5,_6M_to_1Y,2104
2018,5,_1Y_to_2Y,1350
2018,5,_2Y_to_5Y,1423
2018,5,_5Y_to_10Y,1165
2018,5,_10Y_to_20Y,927
2018,5,over_20Y,2068
2019,5,under_6M,17447
2019,5,_6M_to_1Y,2124
2019,5,_1Y_to_2Y,1549
2019,5,_2Y_to_5Y,1519
2019,5,_5Y_to_10Y,1167
2019,5,_10Y_to_20Y,1002
2019,5,over_20Y,2042
2020,5,under_6M,16538
2020,5,_6M_to_1Y,2291
2020,5,_1Y_to_2Y,1889
2020,5,_2Y_to_5Y,2025
2020,5,_5Y_to_10Y,1619
2020,5,_10Y_to_20Y,1220
2020,5,over_20Y,1950
2021,5,under_6M,19031
2021,5,_6M_to_1Y,2352
2021,5,_1Y_to_2Y,1897
2021,5,_2Y_to_5Y,2340
2021,5,_5Y_to_10Y,1835
2021,5,_10Y_to_20Y,1389
2021,5,over_20Y,2256
2014,6,under_6M,528
2014,6,_6M_to_1Y,5
2014,6,_1Y_to_2Y,0
2014,6,_2Y_to_5Y,3
2014,6,_5Y_to_10Y,0
2014,6,_10Y_to_20Y,0
2014,6,over_20Y,4
2015,6,under_6M,511
2015,6,_6M_to_1Y,7
2015,6,_1Y_to_2Y,0
2015,6,_2Y_to_5Y,5
2015,6,_5Y_to_10Y,3
2015,6,_10Y_to_20Y,0
2015,6,over_20Y,0
2016,6,under_6M,507
2016,6,_6M_to_1Y,8
2016,6,_1Y_to_2Y,10
2016,6,_2Y_to_5Y,0
2016,6,_5Y_to_10Y,0
2016,6,_10Y_to_20Y,0
2016,6,over_20Y,6
2017,6,under_6M,439
2017,6,_6M_to_1Y,13
2017,6,_1Y_to_2Y,12
2017,6,_2Y_to_5Y,4
2017,6,_5Y_to_10Y,7
2017,6,_10Y_to_20Y,3
2017,6,over_20Y,3
2018,6,under_6M,424
2018,6,_6M_to_1Y,4
2018,6,_1Y_to_2Y,5
2018,6,_2Y_to_5Y,0
2018,6,_5Y_to_10Y,3
2018,6,_10Y_to_20Y,0
2018,6,over_20Y,3
2019,6,under_6M,506
2019,6,_6M_to_1Y,5
2019,6,_1Y_to_2Y,0
2019,6,_2Y_to_5Y,3
2019,6,_5Y_to_10Y,0
2019,6,_10Y_to_20Y,0
2019,6,over_20Y,8
2020,6,under_6M,365
2020,6,_6M_to_1Y,8
2020,6,_1Y_to_2Y,14
2020,6,_2Y_to_5Y,0
2020,6,_5Y_to_10Y,3
2020,6,_10Y_to_20Y,0
2020,6,over_20Y,6
2021,6,under_6M,417
2021,6,_6M_to_1Y,8
2021,6,_1Y_to_2Y,4
2021,6,_2Y_to_5Y,11
2021,6,_5Y_to_10Y,0
2021,6,_10Y_to_20Y,5
2021,6,over_20Y,0
2014,7,under_6M,9797
2014,7,_6M_to_1Y,21
2014,7,_1Y_to_2Y,18
2014,7,_2Y_to_5Y,6
2014,7,_5Y_to_10Y,0
2014,7,_10Y_to_20Y,3
2014,7,over_20Y,0
2015,7,under_6M,8867
2015,7,_6M_to_1Y,20
2015,7,_1Y_to_2Y,9
2015,7,_2Y_to_5Y,3
2015,7,_5Y_to_10Y,0
2015,7,_10Y_to_20Y,0
2015,7,over_20Y,15
2016,7,under_6M,9319
2016,7,_6M_to_1Y,24
2016,7,_1Y_to_2Y,18
2016,7,_2Y_to_5Y,0
2016,7,_5Y_to_10Y,0
2016,7,_10Y_to_20Y,0
2016,7,over_20Y,3
2017,7,under_6M,9489
